Q3,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,0.10583333333333333,0.09645507007419621,0.085619285120532,0.1,0.09658617818484597,0.09583333333333334,0.1125,0.12416666666666666,0.12583333333333332,0.13416666666666666,0.1275,0.09916666666666667,0.04416666666666667,0.03916666666666667,0.03166666666666667,0.034166666666666665
2,0.7058333333333333,0.6479802143446002,0.683291770573566,0.67,0.6702747710241466,0.6508333333333334,0.6175,0.61,0.5783333333333334,0.545,0.5458333333333333,0.6766666666666666,0.16583333333333333,0.12333333333333334,0.12666666666666668,0.13916666666666666
3,0.11833333333333333,0.17065127782357792,0.15627597672485452,0.16083333333333333,0.15154038301415487,0.18333333333333332,0.18916666666666668,0.19166666666666668,0.20916666666666667,0.225,0.24083333333333334,0.16666666666666666,0.535,0.5558333333333333,0.5058333333333334,0.4816666666666667
4,0.07,0.08491343775762572,0.07481296758104738,0.06916666666666667,0.08159866777685262,0.07,0.08,0.07416666666666667,0.08666666666666667,0.09583333333333334,0.08583333333333333,0.0575,0.1975,0.21416666666666667,0.255,0.25833333333333336
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575,0.0675,0.08,0.08666666666666667
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008333333333333334,0.0
