Q10_5,2008,2009,2010,2011,2013,2014,2015,2016,2017,2018,2019,2022
1.0,-56.29,106.97,20.81,-40.48,-21.36,50.0,-42.42,0.0,-31.58,84.62,33.33,-43.75
2.0,-44.45,67.13,-8.86,-16.43,-3.18,24.72,18.02,-34.35,6.98,40.22,0.0,-44.96
3.0,-23.12,22.12,-21.19,11.2,-10.45,3.36,12.6,8.66,-1.99,18.64,-5.71,-20.3
4.0,11.74,-16.01,21.56,-12.62,11.25,-0.61,-3.71,11.13,0.0,-14.64,0.45,15.51
5.0,39.4,-12.18,-6.56,24.07,-3.12,-10.47,-6.15,-9.84,2.18,-9.61,3.54,26.62
9.0,,0.83,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99.0,,,,,,,,0.0,0.0,0.0,0.0,0.0
