Q11,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,0.7233333333333334,0.8054410552349547,0.43640897755610975,0.44416666666666665,0.488759367194005,0.0,0.43583333333333335,0.4483333333333333,0.47833333333333333,0.4891666666666667,0.4558333333333333,0.4666666666666667,0.4483333333333333,0.47,0.505,0.445
2,0.0175,0.014014839241549877,0.39068994181213634,0.3875,0.3555370524562864,0.0,0.3541666666666667,0.37833333333333335,0.33666666666666667,0.3383333333333333,0.37333333333333335,0.2733333333333333,0.30666666666666664,0.2783333333333333,0.305,0.2991666666666667
3,0.22583333333333333,0.16240725474031328,0.13300083125519535,0.12583333333333332,0.12323064113238967,0.0,0.16916666666666666,0.13166666666666665,0.13666666666666666,0.13416666666666666,0.135,0.23833333333333334,0.2175,0.22333333333333333,0.17166666666666666,0.23666666666666666
4,0.03333333333333333,0.018136850783182192,0.0399002493765586,0.0425,0.03164029975020816,0.0,0.04083333333333333,0.04083333333333333,0.04833333333333333,0.03833333333333333,0.034166666666666665,0.021666666666666667,0.0275,0.025,0.0175,0.019166666666666665
9,0.0,0.0,0.0,0.0,0.0008326394671107411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008333333333333334,0.0,0.0,0.0016666666666666668,0.0,0.0,0.0033333333333333335,0.0008333333333333334,0.0
