Q11,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1.0,11.35,-45.82,1.78,10.04,0.0,-10.83,2.87,6.69,2.26,-6.81,2.38,-3.93,4.83,7.45,-11.88
2.0,-19.92,2687.69,-0.82,-8.25,0.0,-0.39,6.82,-11.01,0.5,10.34,-26.79,12.2,-9.24,9.58,-1.91
3.0,-28.09,-18.11,-5.39,-2.07,0.0,37.28,-22.17,3.8,-1.83,0.62,76.54,-8.74,2.68,-23.13,37.86
4.0,-45.59,120.0,6.52,-25.55,0.0,29.05,0.0,18.37,-20.69,-10.87,-36.59,26.92,-9.09,-30.0,9.52
9.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99.0,,,,,,,,0.0,0.0,100.0,0.0,0.0,100.0,-75.0,0.0
