Q2,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,-24.07,-5.53,10.38,5.72,-7.15,-11.84,14.13,-19.81,-2.7,-14.29,21.76,-6.46,2.03,-33.86,6.63
2,-13.68,22.77,1.85,-21.59,21.51,3.31,-7.47,5.19,7.4,10.46,4.85,-12.56,-3.53,-3.66,1.08
3,9.49,2.27,-13.52,22.35,-13.59,-0.39,4.65,8.89,-8.16,8.89,-1.36,9.31,-14.83,15.56,8.01
4,57.5,-19.17,2.83,1.42,2.07,7.77,-2.25,-1.84,2.82,-5.02,-22.12,13.58,28.8,24.47,-15.59
5,125.15,-19.03,-9.21,12.41,-5.48,21.57,-30.65,60.47,-2.9,-26.87,-36.73,80.65,5.36,-1.69,10.34
