Q5_11,2018,2019,2020,2021,2022
1,23.93,0.0,5.82,-59.5,15.43
2,-6.55,-9.35,-8.1,20.64,-3.49
3,-10.82,17.48,11.57,47.04,-4.53
4,-26.09,117.65,-16.22,25.81,33.33
99,,,,,
