Q17,2019,2020,2021,2022
1,-6.11,7.71,-7.61,7.51
2,4.51,-3.8,1.62,-4.77
3,7.34,-12.11,18.56,2.02
4,-37.5,73.33,-15.38,-36.36
5,-66.67,200.0,-66.67,0.0
