Q17,2018,2019,2020,2021,2022
1,0.36833333333333335,0.3458333333333333,0.3725,0.3441666666666667,0.37
2,0.46166666666666667,0.4825,0.46416666666666667,0.4716666666666667,0.44916666666666666
3,0.1475,0.15833333333333333,0.13916666666666666,0.165,0.16833333333333333
4,0.02,0.0125,0.021666666666666667,0.018333333333333333,0.011666666666666667
5,0.0025,0.0008333333333333334,0.0025,0.0008333333333333334,0.0008333333333333334
