Q5_8,2018,2019,2020,2021,2022
1,21.57,20.97,-12.67,-24.43,20.2
2,26.26,-5.42,-10.33,-4.48,4.69
3,-12.82,-5.25,17.74,3.2,-4.2
4,-58.77,61.7,-9.21,47.83,-16.67
99,,,,,-33.33
