Q5_8,2017,2018,2019,2020,2021,2022
1,0.085,0.10333333333333333,0.125,0.10916666666666666,0.0825,0.09916666666666667
2,0.365,0.4608333333333333,0.43583333333333335,0.3908333333333333,0.37333333333333335,0.3908333333333333
3,0.455,0.39666666666666667,0.37583333333333335,0.4425,0.45666666666666667,0.4375
4,0.095,0.03916666666666667,0.06333333333333334,0.0575,0.085,0.07083333333333333
99,0.0,0.0,0.0,0.0,0.0025,0.0016666666666666668
