Q24_2,2008,2009,2010,2011,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,14.19,17.3,0.68,4.15,39.14,19.3,0.0,-11.27,-8.84,-48.79,-24.26,8.59,10.79,48.7
2,-23.45,38.96,-8.69,-10.8,9.2,-21.25,14.46,-0.63,-21.19,53.76,-26.22,6.87,18.63,-0.37
3,2.75,-15.53,21.57,9.59,-29.77,18.71,-16.05,12.63,39.09,-18.52,22.99,-10.43,-12.14,-13.26
4,95.92,-70.55,-30.33,29.16,-30.13,-24.32,-14.29,50.0,5.56,123.68,123.53,4.21,-24.75,-17.45
9,-50.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
