Q8,2008,2009,2010,2011,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,-27.52,14.46,4.43,-2.94,-21.7,18.05,5.73,-19.28,-13.43,15.52,28.36,-12.79,-41.33,47.73
2,-9.76,11.72,-0.81,-6.07,3.5,13.22,2.14,-5.52,4.44,7.72,2.33,-3.33,1.27,1.25
3,6.63,-4.95,2.96,1.23,10.05,-11.61,-6.68,11.22,1.72,-7.59,-18.04,18.11,11.79,-10.13
4,78.71,-28.58,-14.07,27.34,-19.93,-23.08,12.5,15.56,-11.54,-23.91,40.0,-24.49,6.76,-1.27
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
