Q5_1,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,0.165,0.15004122011541632,0.1745635910224439,0.18333333333333332,0.16985845129059118,0.1875,0.16416666666666666,0.13583333333333333,0.165,0.14666666666666667,0.15916666666666668,0.18916666666666668,0.18833333333333332,0.18666666666666668,0.11583333333333333,0.1125
2,0.5033333333333333,0.4674361088211047,0.5461346633416458,0.5133333333333333,0.5062447960033306,0.4975,0.515,0.5275,0.5408333333333334,0.5475,0.53,0.5708333333333333,0.5575,0.4725,0.48083333333333333,0.4716666666666667
3,0.305,0.32481450948062657,0.25353283458021614,0.27666666666666667,0.2839300582847627,0.2841666666666667,0.30083333333333334,0.29833333333333334,0.26,0.2783333333333333,0.27666666666666667,0.2275,0.22583333333333333,0.32166666666666666,0.3775,0.38416666666666666
4,0.02666666666666667,0.057708161582852434,0.024106400665004156,0.02666666666666667,0.03913405495420483,0.030833333333333334,0.02,0.03666666666666667,0.034166666666666665,0.0275,0.034166666666666665,0.0125,0.0275,0.019166666666666665,0.025833333333333333,0.03166666666666667
9,0.0,0.0,0.0016625103906899418,0.0,0.0008326394671107411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016666666666666668,0.0,0.0,0.0,0.0,0.0008333333333333334,0.0,0.0,0.0
