Q5_7,2017,2018,2019,2020,2021,2022
1,0.5466666666666666,0.6291666666666667,0.5825,0.5458333333333333,0.48833333333333334,0.4816666666666667
2,0.31583333333333335,0.2783333333333333,0.28833333333333333,0.31916666666666665,0.3541666666666667,0.33166666666666667
3,0.115,0.07916666666666666,0.1125,0.1175,0.13416666666666666,0.165
4,0.0225,0.013333333333333334,0.015833333333333335,0.016666666666666666,0.023333333333333334,0.021666666666666667
99,0.0,0.0,0.0008333333333333334,0.0008333333333333334,0.0,0.0
