Q5_7,2018,2019,2020,2021,2022
1,0.1188803921677887,-0.4614098674426048,-0.5469024350253616,-0.2261161637413892,-0.9191355611378955
2,-0.12473559687334135,-0.7511767115505327,-0.21401102142878647,-0.1928270223817316,-0.5423630066581356
3,1.3346906231898257,2.163136300208575,-0.6868681430148306,0.05003239526486065,0.715815222458011
4,2.0594860191569144,0.39578552256857624,-0.6248292886627417,2.003499735961127,-0.4825938664896596
99,,,-1.0227858421895566,-1.0227858421895566,-1.0227858421895566
