Q7,2019,2020,2021,2022
1,-0.6419838192967959,-0.28621125746158393,-0.771757852214925,-0.7430011062842031
2,-0.5933185569524975,-0.5568196101942736,-0.022239076866753176,0.08762643963779931
3,-0.45506497074710417,-0.49303862242485225,-0.5181086060567636,-0.6379283807681042
4,-0.5789401839871365,-0.5763594503779692,-0.6784827660550197,-0.08675741709593668
5,-0.7300974382383664,0.7294917558607047,0.15067007494745852,-0.13910944173904563
6,-0.8008832743755278,2.885879024434958,1.9641884497323363,-0.8008832743755278
99,-0.18629999916381976,0.6738216451486665,1.657081150241423,2.148526564672861
