Q7,2019,2020,2021,2022
1,-4.31,13.96,0.79,-1.57
2,-5.63,6.62,21.12,24.1
3,9.38,-8.35,-7.67,4.42
4,-6.02,6.09,-3.32,-19.37
5,1.92,-41.51,25.81,17.95
6,0.0,100.0,-75.0,0.0
99,-16.67,-40.0,66.67,-80.0
