Q16,2019,2020,2021,2022
1,0.18949757409262877,-0.33881852163385057,-0.06778260755316053,0.012672432153293951
2,-0.36864926697232725,-0.3323405313592752,-0.3161055680785493,-0.37264802640107747
3,-0.23924941185797005,-0.3354595637137004,-0.23357117346914474,-0.3697689196123773
4,-0.19030459645006734,-0.24140874194949516,0.23484350601465628,-0.19438333106739258
5,4.402590508223862,-0.015078958282232637,-0.31850482373579947,-0.11368836579521309
99,,,-0.39592080627640375,-0.39592080627640375
