Q1,2019,2020,2021,2022
1,4.68,2.3,2.25,-9.33
2,2.34,-8.57,-13.12,12.23
3,-0.85,-8.62,0.47,11.27
4,-40.7,37.25,8.57,40.79
5,33.33,-25.0,0.0,0.0
99,0.0,0.0,0.0,0.0
