Q1,2018,2019,2020,2021,2022
1,0.5875,0.615,0.6291666666666667,0.6433333333333333,0.5833333333333334
2,0.1425,0.14583333333333334,0.13333333333333333,0.11583333333333333,0.13
3,0.195,0.19333333333333333,0.17666666666666667,0.1775,0.1975
4,0.07166666666666667,0.0425,0.058333333333333334,0.06333333333333334,0.08916666666666667
5,0.0025,0.0033333333333333335,0.0025,0.0,0.0
99,0.0008333333333333334,0.0,0.0,0.0,0.0
