id,tara,ara,siz,sex,tsq1,sq1,,Q2,Q3,Q4,q4_1,q4_2,q4_3,q4_4,Q5_1,Q5_5,Q5_2,Q5_3,Q5_9,Q5_6,Q6,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,q10,q11,Q11,q13,Q12,aer,Q13,q17,Q14,Q15,q20_1,q20_2,q20_3,q20_4,q20_5,q20_6,q21_1,q21_2,q21_3,q21_4,q22_1,q22_2,q22_3,q22_4,q22_5,q22_6,q23,q24,q25,q26,q27,Q18,q29,q30_1,q30_2,q30_3,q30_4,q30_5,q30_6,q30_7,q31_1,q31_2,q31_3,q31_4,q31_5,q32,Q19_1,Q19_2,Q19_3,Q19_4,Q20,q35_1,q35_2,q35_3,q35_4,Q21,Q22,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q25_1,Q25_2,Q25_3,Q25_4,Q26_1,Q26_2,Q26_3,Q26_4,q42_1,q42_2,q42_3,q42_4,q43,q44_1,q44_2,q44_3,q44_4,q44_5,q44_6,q45_1,q45_2,q45_3,q45_4,q45_5,q45_6,q45_7,q45_8,q46,q47,q48,q49,q50,Q27,q52,q53,q54_1,q54_2,q54_3,td1,d1,d2,td3,d3,td4,td5,d5,d6,d7,d8,d9,wt
249,1,8,2,1,4,58,1957 ,1,2,3,2,2,1,2,1,1,2,1,2,1,1,2,1,5,5,4,4,5,4,1,1,2,2,1,2,2,2,3,2,3,2,4,4,3,3,2,2,2,2,2,2,1,1,2,1,2,3,3,3,2,3,3,2,1,1,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,3,2,3,2,1,4,2,2,1,2,2,2,2,1,1,2,1,2,3,3,2,2,1,1,4,4,4,3,4,4,2,2,2,1,1,2,2,2,3,3,6,2,2,3,4,2,2,1,2,3,4,2,2,3,1,4,9,3,4,3,4,1.27
250,1,8,2,1,4,52,1963 ,2,2,3,2,1,2,2,2,2,1,3,1,1,3,1,1,5,5,5,5,5,5,3,3,3,2,2,3,3,4,4,2,1,1,1,1,1,2,2,2,1,2,1,1,1,2,2,1,2,2,3,3,3,2,2,2,3,3,2,2,1,3,2,3,2,2,3,2,4,4,2,1,1,3,2,3,2,1,3,1,1,1,1,1,1,3,3,3,4,4,4,4,2,2,3,2,1,2,4,4,2,2,2,1,2,1,1,2,1,2,2,3,2,7,2,1,3,1,2,3,2,2,3,3,2,3,4,1,3,8,2,3,2,14,1.27
251,1,8,2,1,4,56,1959 ,2,2,6,2,2,2,2,2,2,2,3,3,2,2,2,3,4,2,4,4,4,4,3,1,1,2,4,3,3,5,4,3,3,4,3,4,4,3,2,2,2,2,1,2,2,3,2,1,2,1,4,3,2,2,2,3,3,3,2,3,2,4,1,3,2,2,5,2,4,4,4,4,2,4,3,3,1,3,4,1,2,2,3,3,1,3,3,3,3,2,4,3,1,1,3,3,3,4,4,4,5,5,2,2,3,2,2,3,3,2,2,3,1,8,4,2,3,4,2,3,2,2,2,2,3,3,4,2,2,5,4,6,2,8,1.27
252,1,8,2,1,4,55,1960 ,1,2,3,2,2,2,2,2,2,1,4,1,1,3,1,2,2,4,2,3,2,1,1,1,2,4,1,2,2,5,2,1,3,2,3,3,4,4,2,2,1,2,1,1,1,2,2,2,1,1,1,1,1,4,2,2,1,5,4,1,1,99,1,1,1,1,1,2,5,5,5,5,1,2,1,4,2,3,3,1,1,1,1,1,1,3,1,3,3,3,3,3,1,1,1,1,4,1,4,3,1,2,1,1,2,1,1,1,1,3,1,3,3,8,2,2,2,4,4,1,4,2,6,12,3,2,3,98,1,3,5,6,5,13,1.27
253,1,8,2,1,5,67,1948 ,3,2,2,2,3,2,2,4,3,3,4,4,3,2,2,2,3,2,4,5,4,4,2,2,2,1,2,2,2,3,3,3,2,2,1,1,4,2,2,2,2,2,3,3,3,2,3,3,2,2,1,1,1,2,2,2,3,3,4,4,5,4,3,4,3,3,2,1,4,4,2,2,2,4,3,2,3,1,4,1,3,2,4,3,3,4,3,3,3,4,4,3,3,2,3,2,2,2,3,3,2,2,1,3,2,3,3,2,2,3,3,2,2,6,2,2,4,1,3,4,5,4,2,2,2,3,4,98,4,10,3,3,6,8,1.23
254,1,8,2,1,5,64,1951 ,1,2,2,2,2,1,1,2,2,2,3,3,2,3,2,2,2,3,3,4,2,3,1,1,1,3,1,2,3,4,3,3,4,2,3,3,4,2,2,1,2,2,2,1,1,1,1,1,2,2,3,2,2,2,3,3,2,1,1,2,2,3,2,3,3,3,3,2,4,4,4,3,2,2,3,3,2,1,4,1,1,2,2,2,1,2,3,3,2,3,4,3,1,2,2,2,2,2,3,2,2,2,1,2,3,2,2,2,2,3,2,3,2,5,3,2,4,1,2,2,1,3,2,2,2,2,3,98,2,6,4,5,1,8,1.23
255,1,8,2,1,5,65,1950 ,1,2,5,3,2,2,2,2,1,2,3,1,2,5,2,3,4,2,2,4,4,5,2,2,1,2,4,3,3,4,2,4,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,1,2,1,1,2,3,2,2,4,2,2,3,2,1,2,2,2,1,3,2,3,4,3,2,2,2,3,3,2,2,1,2,1,2,2,3,3,1,3,3,3,4,4,4,4,2,2,3,3,1,3,3,3,3,3,2,2,2,2,2,3,3,2,1,4,3,8,4,4,4,4,2,4,2,2,3,4,2,1,2,1,1,4,5,6,3,8,1.23
256,1,8,2,1,5,64,1951 ,2,2,2,3,4,3,3,3,1,1,4,3,2,1,2,3,4,4,4,4,4,5,1,2,1,2,4,3,2,3,3,2,3,3,3,4,4,3,2,2,2,2,1,1,2,2,3,1,2,1,4,3,3,2,2,2,3,2,2,2,3,3,2,3,3,2,2,3,4,4,2,1,1,3,3,3,2,1,2,1,2,2,3,3,3,3,3,3,2,3,4,4,1,1,3,2,3,2,4,4,3,3,3,2,3,2,2,3,3,3,2,3,3,7,2,3,4,1,2,2,4,3,3,3,2,2,3,98,4,9,4,5,2,8,1.23
257,1,8,2,1,5,68,1947 ,2,2,2,3,2,2,2,2,2,2,3,1,1,2,2,1,5,3,2,5,4,5,3,3,3,2,2,3,3,3,3,2,1,2,2,2,2,2,2,2,1,2,1,1,2,2,2,1,2,2,1,3,3,2,2,2,3,3,2,2,2,3,2,3,2,2,3,2,4,4,2,3,1,3,2,3,2,4,2,3,1,2,2,4,4,3,3,3,2,2,3,2,2,2,2,3,1,2,2,2,3,2,1,1,2,1,2,2,2,2,2,3,2,6,2,1,4,1,3,3,2,2,1,1,2,2,3,98,3,8,3,3,2,8,1.23
258,1,8,2,1,5,62,1953 ,2,2,3,2,2,2,1,2,2,2,4,2,2,1,3,4,4,3,5,5,4,3,3,1,1,2,4,4,3,4,4,3,4,3,3,3,3,3,2,1,1,2,2,2,2,2,2,2,2,1,5,2,2,1,5,2,1,2,1,1,1,2,1,3,3,2,4,2,3,4,4,3,2,3,3,3,1,1,1,3,2,2,4,3,1,2,3,3,2,2,3,3,2,2,3,3,1,3,3,3,3,3,2,2,2,1,2,4,4,2,2,3,1,8,4,1,2,1,1,4,2,3,3,5,2,1,2,98,1,4,4,6,2,2,1.23
