id,ara,siz,sex,age,Q2,Q3,Q4,a15,a16,a17,a18,Q5_1,Q5_5,Q5_2,Q5_3,Q5_9,Q6,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,a34,Q11,Q12,a37,a39,a41,Q13,Q14,Q15,a45,a46,a47,a48,a49,a50,a51,a52,a53,a54,a55,a56,a57,a58,a59,a60,a61,a62,a63,a64,Q18,a67,a68,Q19_1,Q19_2,Q19_3,Q19_4,Q20,a74,a75,a76,a77,Q21,Q22,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q25_1,Q25_2,Q25_3,Q25_4,Q26_1,Q26_2,Q26_3,Q26_4,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,Q27,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,mar,rel,edc,job,inc,b57,b58,b59,b60
12,1,1,1,59,1,2,2,2,2,2,2,2,3,2,3,2,1,3,3,4,4,4,4,3,4,1,1,2,2,6,3,3,3,3,4,4,4,4,4,4,2,2,2,2,2,1,2,2,2,2,2,2,3, ,3,3,3,4,3,3,3,1,2,2,2,2,1,4,1,3,3,3,3,1,3,3,3,2,3,3,3,1,2,1,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,3,4,3,2,2,2,2,1,2,2,3,5,5,3,2,98,3,5,2,4,3,1,8
13,1,1,1,52,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,2,2,1,2,8,5,3,3,2,2,2,3,3,3,3,3,2,2,2,2,3,1,1,2,2,3,3,1,2, ,3,3,3,3,2,3,3,1,2,1,2,2,1,1,3,3,3,3,3,1,1,2,3,3,4,3,3,1,3,1,1,2,2,2,2,1,2,2,1,1,1,2,2,3,3,2,3,2,2,2,2,2,2,2,2,2,5,5,3,2,3,4,6,3,4,4,1,1
14,1,1,1,53,2,3,5,3,3,2,2,3,2,2,3,2,1,3,3,3,3,3,3,3,3,2,1,2,6,6,3,3,2,2,2,2,1,1,2,1,2,2,2,2,1,1,1,1,2,1,2,2,3, ,2,2,2,5,5,5,5,1,2,2,4,2,4,3,1,3,4,2,2,1,3,4,1,1,4,2,2,1,3,2,1,1,4,1,1,1,1,1,1,1,1,2,2,2,2,3,3,4,1,2,2,3,2,2,3,3,1,5,2,3,98,4,4,3,4,3,3,13
15,1,1,1,52,2,2,3,3,3,3,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,2,1,1,8,4,4,4,1,3,3,3,3,3,3,2,1,2,2,1,1,1,2,2,1,1,1,3, ,2,2,2,4,4,4,4,1,2,2,3,2,2,4,3,2,3,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,2,3,2,2,2,2,2,2,3,2,3,3,2,4,3,3,2,2,2,3,3,3,3,2,1,4,2,4,3,4,2,1
16,1,1,1,50,5,4,6,3,4,3,4,1,1,1,1,1,1,4,4,1,1,1,1,1,2,3,3,4,1,5,4,4,3,1,4,4,4,4,4,4,2,2,1,2,1,1,1,1,1,1,2,3,5,1,4,4,2,3,3,3,1,3,4,4,3,2,3,1,1,4,4,4,4,4,3,4,4,4,4,4,4,3, ,3,2,2,3,2,2,3,2,2,1,1,1,1,1,2,2,3,2,3,2,3,2,3,2,3,3,4,4,5,3,2,2,3,2,3,4,4,2,1
17,1,1,1,59,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,3,3,3,3,3,3,1,4,2,2,9,3,4,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,3,3,3,4,2,3,3,3,3,2,2,2,3,2,3,3,3,1,3,1,1,2,3,3,3,3,3,3,2,2,2,2,2,3,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,3,1,2,4,2,2,3,3,1,2,3,3,3,4,2,2,1,3,2,4,3,3,2,13
18,1,1,1,58,4,2,4,2,2,2,2,4,4,3,3,3,1,2,3,3,3,3,3,3,3,3,3,2,1,8,4,4,4,3,4,4,3,4,4,4,2,2,2,2,2,1,1,2,1,3,3,4,4,1,3,3,3,3,2,2,1,2,3,3,4,3,1,3,1,1,2,2,2,1,3,1,3,2,3,2,2,1,3,3,2,2,1,1,1,1,1,5,2,2,2,2,2,2,2,3,4,3,1,2,2,2,2,2,3,4,3,5,3,2,4,3,3,9,3,9,1,8
19,1,1,2,51,3,2,3,3,2,2,1,2,2,2,3,3,5,3,3,2,3,2,5,4,5,1,1,2,3,8,3,3,2,2,4,3,2,3,2,3,2,2,1,2,1,1,1,2,2,3,3,3,4,3,3,3,2,4,4,5,3,1,1,2,3,2,3,4,1,1,2,2,2,1,3,3,3,2,3,3,3,1,3,1,2,3,5,5,5,5,2,2,2,1,1,2,2,2,3,3,3,4,3,2,2,3,2,2,3,3,5,3,2,2,2,3,9,4,3,3,1,14
20,1,1,2,50,1,1,2,2,3,2,2,2,3,2,3,2,1,3,3,4,4,4,4,3,3,3,1,1,4,6,3,3,2,2,4,3,3,3,3,4,2,2,2,2,2,1,1,2,2,2,3,2,3, ,2,2,3,3,3,2,2,1,2,2,2,1,2,3,1,1,2,2,2,1,3,2,2,3,2,3,3,2,3,1,2,2,4,1,2,1,2,2,1,1,1,1,2,2,3,3,3,3,2,2,3,2,2,2,3,3,4,4,3,2,1,3,12,1,5,6,2,13
21,1,1,2,54,4,2,4,3,3,3,3,3,3,3,3,3,1,2,3,5,4,4,4,4,4,1,1,2,1,6,4,2,2,2,4,4,3,3,4,4,2,2,2,2,1,1,1,1,1,2,2,3,4,1,3,3,3,2,2,2,2,1,3,3,3,3,1,3,1,1,1,3,3,1,1,3,3,2,3,3,3,2,2,3,2,2,2,3,2,3,2,2,1,1,1,1,2,2,2,2,3,4,2,3,3,3,2,2,2,3,4,5,2,2,4,3,3,4,4,4,1,1
22,1,1,2,54,3,2,4,2,2,2,2,3,2,2,3,2,1,2,3,4,4,5,4,4,4,3,1,2,2,8,3,3,2,2,3,2,3,4,2,2,2,2,1,2,1,1,1,2,3,2,2,2,3, ,2,3,2,3,3,3,3,1,2,2,3,3,3,3,1,1,2,3,3,3,3,3,3,2,3,3,3,1,3,3,1,5,5,5,5,2,1,3,2,1,1,2,3,3,3,2,3,3,2,2,2,3,2,3,2,3,4,4,3,2,1,3,9,5,3,4,2,8
23,1,1,2,50,1,2,3,3,2,2,2,2,2,1,2,1,1,3,3,4,3,4,4,3,4,3,1,2,2,6,3,3,3,2,2,2,1,4,4,4,2,2,2,2,2,1,1,2,2,2,2,2,3, ,3,3,3,3,2,2,2,1,2,3,2,2,1,3,1,3,3,3,3,1,1,2,2,3,3,3,3,2,3,1,2,2,2,2,2,2,2,3,1,1,1,2,2,2,3,3,3,2,2,2,2,2,2,2,3,3,5,5,3,2,98,3,9,5,3,3,1,13
24,1,1,2,51,2,2,3,3,3,3,3,2,1,1,3,1,5,2,3,4,3,3,4,5,5,1,1,2,1,6,3,3,3,2,4,3,3,3,4,3,2,2,1,2,1,2,1,2,2,2,2,3,4,1,2,3,3,3,3,2,2,3,3,3,2,2,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,5,5,2,2,2,2,1,3,1,1,1,2,2,3,3,2,3,3,3,2,2,3,2,1,1,2,5,5,3,2,98,3,9,3,4,3,2,8
25,1,1,2,50,1,2,6,3,1,2,2,3,1,1,4,1,3,1,3,5,5,5,5,5,5,1,1,2,1,6,3,4,2,2,4,4,4,4,4,4,2,1,2,2,4,4,4,4,4,1,1,1,3, ,3,3,1,4,4,4,4,1,3,3,3,3,1,4,3,1,4,2,2,4,4,4,4,2,2,2,2,1,1,2,5,5,5,5,5,5,1,5,1,1,1,1,1,1,1,1,1,4,1,2,2,2,1,1,5,4,2,4,1,2,1,3,9,1,4,1,1,3
26,1,1,2,53,2,2,1,3,3,2,2,1,1,1,1,1,2,3,4,2,1,2,4,4,4,2,3,2,1,6,4,4,1,1,2,3,3,4,4,3,2,2,1,2,2,3,2,1,1,1,1,2,2, ,2,3,3,2,1,1,1,3,3,3,3,4,1,3,4,3,3,2,2,3,4,3,3,3,3,3,3,2,2,1,3,3,4,4,3,2,2,2,1,1,2,3,3,3,2,2,2,2,1,2,3,4,2,2,2,3,2,4,1,3,3,5,8,1,3,2,4,1
27,1,1,2,55,3,2,6,3,2,2,2,2,2,2,3,2,1,3,3,4,5,5,5,5,5,3,3,2,3,9,3,3,2,2,4,2,2,3,3,4,2,2,2,2,1,1,1,1,1,2,2,3,4,1,3,3,3,3,3,2,2,3,3,3,4,2,4,5,1,1,2,2,2,1,3,4,2,3,3,3,3,2,2,1,2,2,2,3,2,3,2,3,1,2,1,1,3,3,2,2,3,3,1,2,3,3,3,2,3,4,5,3,2,2,98,3,3,5,4,5,2,3
28,1,1,2,50,1,2,2,3,2,2,2,2,3,2,3,2,1,3,4,5,5,5,5,4,4,1,1,1,5,8,2,3,2,3,4,2,4,4,4,4,2,2,2,2,1,1,2,1,2,4,3,3,3, ,3,3,2,2,2,1,1,1,2,2,3,4,2,4,1,1,3,4,4,3,3,3,3,2,2,2,2,1,3,1,4,4,5,4,5,3,2,5,1,1,1,1,2,2,3,4,4,4,1,4,4,4,1,1,1,3,5,5,3,2,5,1,9,4,4,6,1,12
29,1,1,2,52,4,2,5,4,3,3,2,3,1,1,1,2,3,3,4,5,4,5,5,3,3,3,3,5,1,6,4,4,2,4,4,1,1,1,4,1,2,2,2,2,1,1,1,2,1,4,3,3,5,1,4,4,4,3,3,3,1,2,3,3,2,2,1,4,1,1,1,3,3,3,3,3,3,4,4,4,4,2,3,3,5,5,5,5,5,5,2,2,1,1,1,1,2,2,3,3,2,4,2,3,2,2,2,2,4,4,4,4,2,2,99,2,2,2,4,4,2,12
30,1,1,2,56,2,4,6,3,3,4,3,3,2,3,2,2,1,4,4,1,1,1,1,1,1,3,3,4,1,5,3,4,4,3,4,2,4,4,4,4,2,2,1,2,1,1,1,1,1,2,3,4,5,1,3,4,2,3,4,4,2,2,3,3,2,2,1,2,1,2,2,2,2,4,3,3,3,2,4,4,4,3, ,3,2,2,3,2,3,3,1,2,1,1,1,1,2,2,2,2,2,4,1,2,2,2,2,2,4,4,3,4,3,2,2,1,2,2,5,5,5,1
31,1,1,1,40,3,3,3,3,3,2,2,2,2,2,3,3,1,3,3,3,5,1,4,4,4,3,1,4,2,7,4,4,4,2,4,3,3,4,4,3,2,2,2,2,1,1,1,2,2,3,3,4,4,3,3,3,3,3,3,2,2,1,2,3,3,2,1,5,1,1,3,4,4,1,3,2,3,3,3,3,3,3, ,3,3,2,2,5,5,3,2,2,1,1,1,2,3,2,2,3,3,4,2,3,3,4,2,2,4,4,3,5,3,2,98,4,6,3,3,4,1,1
32,1,1,1,45,2,2,3,3,3,2,2,2,2,2,3,3,1,3,4,4,5,2,3,3,4,3,3,4,2,7,4,3,4,3,3,3,3,3,4,3,2,2,2,2,1,1,1,2,2,2,3,3,4,1,3,3,3,3,3,2,1,2,3,4,3,3,1,3,1,1,2,2,3,1,3,3,3,3,3,3,3,2,2,3,3,2,2,3,3,3,1,2,1,1,1,2,2,2,2,2,4,4,2,3,4,4,2,2,3,3,4,5,3,2,1,4,6,2,4,4,2,14
33,1,1,1,48,4,2,6,4,2,2,2,2,2,2,4,3,1,3,4,5,5,5,5,3,2,3,1,2,1,6,4,4,3,4,4,3,2,3,4,4,2,2,2,2,1,1,2,2,2,3,3,2,5,1,3,4,3,4,4,2,4,1,3,3,4,4,1,2,1,1,3,3,1,1,3,2,2,4,4,4,4,2,2,1,2,2,2,2,2,2,2,3,2,1,2,3,2,3,3,4,4,3,1,3,3,3,2,2,3,2,4,5,3,2,98,4,7,4,2,3,1,2
34,1,1,1,48,3,2,3,2,2,2,2,2,1,2,3,2,1,2,2,4,4,4,3,4,4,2,1,2,1,8,3,3,2,3,4,3,3,4,4,4,2,2,2,2,1,1,1,1,1,3,2,2,3, ,3,3,3,3,3,4,3,1,3,2,4,3,1,3,1,1,1,1,1,1,4,2,2,3,3,3,3,1,4,3,2,2,3,2,5,2,2,2,1,1,2,2,2,3,3,2,3,3,2,2,2,3,2,2,3,3,3,4,2,2,98,4,2,5,3,4,2,3
35,1,1,1,47,2,2,3,3,4,2,2,2,3,1,3,2,1,1,2,4,4,2,4,3,4,3,1,2,4,7,2,2,1,3,4,3,3,4,3,4,2,2,2,2,2,2,2,2,2,3,3,2,4,1,3,3,2,4,4,1,2,1,2,2,2,2,1,3,1,1,3,3,3,1,3,2,2,3,3,3,3,2,3,1,2,2,3,2,2,2,2,1,2,2,1,2,1,3,2,3,3,4,2,2,3,3,3,1,5,3,5,4,3,2,98,3,2,3,5,5,6,1
36,1,1,1,44,1,2,2,2,2,1,3,2,1,1,1,1,1,1,2,5,5,4,4,3,4,2,1,2,2,5,2,2,2,4,2,2,2,3,2,2,2,2,1,2,1,1,3,3,3,3,4,2,2, ,2,3,2,3,3,3,4,1,2,2,3,2,2,1,1,3,1,1,2,1,1,2,2,3,1,2,2,1,2,1,2,2,4,1,1,1,2,2,1,1,1,2,2,3,1,2,2,3,2,1,1,3,2,2,3,2,1,3,3,2,1,4,6,3,3,4,2,12
37,1,1,1,49,4,2,3,4,2,3,3,3,2,2,3,1,1,3,3,5,5,5,5,5,5,3,1,4,1,6,4,4,3,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,2,3,5,2,4,4,3,2,2,1,1,1,2,2,3,3,1,3,1,1,1,3,3,1,3,3,3,2,3,3,3,1,3,1,2,2,3,4,4,4,1,3,2,1,2,2,2,2,2,3,5,4,3,3,3,4,1,1,1,2,5,5,2,2,2,4,11,4,3,4,1,11
38,1,1,1,46,1,2,4,2,2,2,1,1,2,2,3,1,1,1,2,5,5,5,5,5,5,3,3,2,2,10,3,3,2,3,3,3,3,3,4,4,2,2,2,2,1,1,1,1,1,1,3,3,2, ,3,4,4,3,3,3,3,1,2,2,4,4,3,4,1,1,1,1,1,1,1,2,2,3,3,3,3,1,2,1,1,1,2,2,2,2,1,1,1,1,1,2,1,1,1,3,4,3,1,2,2,2,2,2,3,3,5,5,3,2,2,3,6,3,4,5,2,12
39,1,1,1,41,1,2,4,1,2,2,1,1,1,1,1,1,5,1,2,5,5,1,5,5,5,3,1,2,1,8,2,2,2,2,2,2,2,3,3,3,2,2,2,2,1,1,1,1,1,1,3,2,3, ,2,3,3,3,3,3,3,1,2,2,3,2,3,2,1,2,2,2,2,3,3,3,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,3,3,1,1,2,2,1,2,3,4,5,5,2,2,2,3,4,4,4,4,3,1
40,1,1,1,45,3,2,3,3,2,2,2,3,2,2,4,2,1,2,3,5,4,4,4,4,4,3,1,1,2,8,3,3,3,3,2,2,1,2,1,1,2,2,2,2,1,1,2,1,2,2,3,3,3, ,3,3,3,4,3,3,2,2,3,2,4,2,1,4,1,2,2,3,3,3,3,2,3,3,4,4,3,2,3,3,2,4,3,1,1,2,2,3,1,1,2,2,2,2,3,2,3,3,3,2,2,2,2,1,2,2,4,4,2,2,98,4,7,6,2,3,1,13
41,1,1,1,42,1,2,5,2,2,2,1,2,2,2,2,1,1,3,2,5,5,4,4,4,4,3,1,2,1,8,2,2,2,4,3,1,1,4,4,3,2,2,2,2,1,1,1,2,2,3,4,2,2, ,2,2,2,5,5,2,4,1,2,2,3,2,3,1,1,3,3,3,3,3,3,3,3,4,4,3,3,2,2,1,1,1,3,1,1,1,2,1,2,2,2,2,2,3,2,2,5,3,1,3,2,3,2,3,4,3,5,5,3,2,98,3,2,3,5,5,2,12
42,1,1,1,45,1,2,5,3,3,3,2,3,1,1,1,1,1,2,3,5,4,4,4,5,4,3,3,2,1,5,4,4,2,2,3,2,2,2,2,2,2,2,1,2,1,1,1,2,1,3,3,3,5,3,3,3,2,3,4,3,2,2,3,3,2,2,1,3,1,2,2,2,2,3,3,3,3,2,4,4,4,2,3,3,2,3,3,2,2,2,2,3,1,1,1,1,3,2,2,2,3,4,2,3,2,2,1,1,3,3,2,4,3,2,99,3,2,3,4,5,5,12
43,1,1,1,48,4,4,6,3,3,3,3,3,3,2,2,2,1,3,3,1,1,1,1,1,2,3,3,4,1,5,4,4,4,1,4,4,4,4,4,4,2,2,2,2,1,1,1,1,1,2,1,4,5,3,4,4,3,3,3,4,2,2,4,3,2,2,1,2,1,4,3,4,4,3,4,4,2,4,4,3,2,2,3,3,3,3,2,2,3,3,2,3,1,1,1,1,2,2,2,4,2,4,1,3,3,2,2,3,4,4,4,4,3,2,99,2,3,1,5,6,5,1
44,1,1,1,40,3,3,6,2,3,2,2,2,2,2,3,2,4,3,3,5,4,4,5,5,5,3,4,1,3,5,3,3,2,3,4,4,3,4,4,3,2,2,1,2,1,1,1,1,1,3,4,2,2, ,2,3,3,3,3,3,3,2,2,2,3,2,1,1,1,2,3,3,1,1,1,1,1,3,3,3,3,3, ,1,2,4,4,1,1,2,2,3,1,1,1,1,1,2,2,4,3,4,1,1,1,1,1,3,3,3,5,3,2,2,98,3,3,5,4,5,2,12
45,1,1,1,43,1,2,3,2,1,1,1,1,1,1,2,1,1,1,2,5,5,5,5,5,5,3,1,2,2,7,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,2,2,2,3,3,3,4,2,2,2,2,3,3,2,2,1,2,2,2,2,1,3,1,1,2,2,2,1,1,1,1,2,2,2,2,1,3,3,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,3,2,3,1,1,1,1,2,3,3,3,3,3,3,2,98,3,2,4,4,4,1,1
46,1,1,2,49,4,3,6,3,3,3,3,3,3,3,3,3,1,3,3,5,5,5,5,5,5,3,3,5,9,1,4,4,3,2,4,4,3,4,4,3,2,1,2,2,1,1,1,1,1,2,4,4,5,3,4,4,4,1,1,1,1,1,3,4,3,3,1,2,2,2,2,4,4,1,3,4,4,1,3,4,3,2,3,3,5,2,2,2,2,4,1,2,1,1,1,2,2,2,2,4,4,4,2,4,4,4,1,2,2,4,2,2,3,2,1,3,2,4,2,3,1,14
47,1,1,2,48,2,4,4,4,2,3,2,2,3,2,3,3,1,2,4,3,2,2,3,3,3,3,1,4,1,6,4,4,4,2,4,3,3,4,4,4,2,2,2,2,1,1,1,1,1,2,3,3,3, ,2,3,3,3,3,2,2,1,3,3,3,3,1,3,1,1,3,3,4,1,3,4,2,3,4,3,3,2,2,3,5,5,5,3,2,3,2,2,1,1,1,2,2,2,2,4,3,3,2,2,4,4,2,2,3,2,4,5,3,2,98,4,9,4,2,3,2,1
48,1,1,2,47,1,2,1,3,1,2,1,2,2,2,2,1,1,3,1,5,1,2,3,4,4,1,1,4,1,3,4,3,1,2,4,1,1,4,4,4,2,2,1,2,1,1,1,1,1,2,1,3,3, ,2,3,3,3,4,3,1,1,4,4,2,1,3,5,1,1,3,3,4,1,3,3,2,2,4,3,4,1,2,3,1,4,1,5,5,1,1,2,1,1,1,1,1,3,3,3,2,4,4,1,1,4,1,1,3,1,2,5,1,2,2,4,2,1,5,4,5,5
49,1,1,2,44,2,2,3,3,4,2,2,3,3,2,3,3,1,2,2,2,4,3,3,3,3,3,3,2,3,7,3,2,1,3,4,2,2,3,4,3,2,2,2,2,2,2,2,2,2,3,3,2,3, ,3,3,2,3,3,2,2,1,2,2,2,2,1,3,1,1,1,1,1,3,3,2,2,4,4,3,3,1,2,1,2,3,3,2,2,2,2,1,2,2,1,2,1,3,3,2,3,3,1,2,2,3,3,1,3,4,2,2,2,2,2,3,2,4,4,4,1,13
50,1,1,2,44,1,2,2,3,4,2,2,2,2,1,4,2,5,1,2,2,4,3,3,2,1,3,3,2,3,6,3,2,1,3,4,1,1,3,4,3,2,2,2,2,1,1,1,1,2,3,3,2,4,1,3,4,2,4,4,1,2,1,2,2,2,2,3,2,1,3,3,3,1,3,4,2,2,4,4,3,3,1,3,1,5,5,3,1,1,2,2,1,2,2,1,2,1,3,3,3,2,4,1,1,3,2,3,1,3,4,2,2,2,4,2,3,2,3,3,6,1,13
51,1,1,2,44,1,2,4,2,2,2,2,1,1,1,4,1,5,2,3,4,1,4,4,3,2,1,1,2,1,6,4,4,4,2,4,2,2,4,4,3,1,1,1,2,1,1,1,1,1,3,3,2,3, ,2,9,3,4,4,4,1,1,2,2,3,2,9,2,1,1,2,2,3,1,3,2,2,4,4,4,4,1,1,1,2,2,3,1,1,2,2,2,3,3,1,1,2,3,4,3,3,3,2,1,3,2,3,1,5,4,5,5,3,2,98,4,6,6,3,4,2,1
52,1,1,2,44,4,2,5,3,2,2,2,3,2,2,4,2,6,3,3,5,4,4,4,4,4,3,3,2,3,5,3,3,2,3,4,3,3,3,2,2,2,2,1,2,1,1,2,2,2,2,3,3,5,1,4,3,4,3,3,2,2,2,3,3,2,2,4,1,1,1,1,2,1,1,3,3,2,2,3,3,3,3, ,1,2,2,2,3,3,3,2,3,2,1,1,1,3,3,3,3,3,3,2,2,2,3,2,3,3,4,3,2,3,2,1,3,9,5,5,4,2,8
53,1,1,2,46,4,2,3,3,3,3,3,2,1,1,2,1,3,4,4,5,3,4,5,5,5,3,1,4,1,6,4,3,3,2,4,1,1,3,3,2,2,2,2,2,1,1,1,1,1,2,2,3,4,4,3,3,3,2,3,1,1,2,3,3,3,3,1,1,1,1,2,3,2,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,2,2,3,2,1,1,2,3,3,3,3,3,2,2,2,3,3,2,3,3,5,5,2,2,1,3,9,6,3,3,1,1
