id,wara,siz,ara,sex,wage,age,Q2,Q3,Q4,a15,a16,a17,a18,Q5_1,Q5_5,Q5_2,Q5_3,Q5_9,Q5_6,Q6,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,a35,a36,Q11,Q12,a39,Q13,Q14,a42,a43,a44,a45,a46,a47,a48,a49,a50,a51,a52,a53,a54,a55,a56,a57,a58,a59,a60,a61,a62,a64,a65,Q18,a67,a68,a69,a70,a71,a72,a73,a74,a75,a76,a77,a78,a79,a80,Q19_1,Q19_2,Q19_3,Q19_4,Q20,b07,b08,b09,b10,Q21,Q22,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q25_1,Q25_2,Q25_3,Q25_4,Q26_1,Q26_2,Q26_3,Q26_4,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b54,b55,b56,b57,b58,Q27,b60,b61,job,mar,edc,rel,inc,b70,b71,b72,b73,wt
1064,12,2,3,1,52,4,1,1,5,3,2,1,1,1,3,2,2,2,2,4,3,3,1,2,4,4,4,4,2,2,2,4,3,1,2,1,3,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,5,1,1,2,2,1,2,1,1,1,1,1,2,1,2,1,5,1,1,5,5,3,5,1,2,2,1,1,4,4,1,1,2,3,2,1,3,3,3,3,3,3,3,1,3,3,3,3,3,3,2,1,1,1,3,1,1,3,1,1,1,3,3,4,1,2,2,4,5,3,4,4,2,2,4,9,2,1,2,1,98,1,4,5,2,12,1
1065,12,3,3,1,52,4,1,1,4,1,1,1,1,1,1,1,3,1,1,3,2,2,2,3,1,9,2,2,2,1,2,2,2,3,2,3,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,1,2,2,2, ,2,2,4,4,1,1,1,5,2,1,3,3,1,2,3,3,2,4,4,2,1,2,3,3,4,2,1,1,1,3,3,3,3,3,3,3,3,4,4,4,3,2,2,2,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,3,3,1,2,2,5,2,4,4,3,3,2,2,4,2,2,2,4,4,3,4,1,12,1
1066,12,3,3,1,54,4,1,1,5,1,1,1,1,1,1,1,3,1,1,1,3,3,4,4,4,3,5,1,1,1,1,2,1,4,4,4,1,1,1,1,4,1,2,1,1,2,1,1,1,1,1,1,3,4,1, ,2,1,4,4,1,1,1,5,1,1,4,5,1,1,2,1,4,4,4,4,4,1,2,2,4,1,3,1,1,3,3,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,1,1,1,4,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,4,4,4,5,4,1,1,2,2,4,4,2,3,1,4,2,3,1,12,1
1067,12,2,3,2,50,4,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,1,2,1,1,2,3,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,3,2,1,1,2, ,3,1,3,3,1,1,1,4,2,1,1,1,2,2,1,1,1,5,5,5,4,1,1,1,4,1,1,4,1,1,3,3,1,1,2,2,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,3,1,1,2,4,7,3,3,4,1,3,2,4,3,2,2,1,4,2,4,4,2,12,1
1068,12,2,3,2,51,4,3,2,5,3,2,3,2,2,2,2,3,1,1,5,4,2,2,2,2,3,4,5,3,3,2,2,3,3,2,2,4,3,3,4,4,3,2,2,2,2,1,1,1,1,1,1,2,4,3, ,2,2,3,2,2,2,2,4,3,3,3,1,2,1,2,2,2,3,3,3,3,2,2,2,3,3,1,3,1,1,1,1,1,1,4,4,4,3,3,3,3,1,2,2,2,2,3,2,2,2,1,2,2,1,1,1,1,1,1,1,1,4,1,2,3,4,7,2,3,4,2,3,3,2,3,3,2,2,2,99,3,3,2,12,1
1069,12,3,3,2,52,4,4,4,6,4,2,1,1,1,1,3,4,3,3,1,4,4,5,3,5,5,5,4,3,1,1,2,4,4,2,3,4,4,3,4,4,3,2,2,2,2,1,1,1,1,1,1,3,1,5,2,4,2,3,2,1,1,2,1,4,3,3,4,1,2,4,4,4,1,1,1,1,2,2,3,1,1,1,5,4,1,3,2,3,1,4,4,2,4,4,4,4,3,2,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,2,2,4,5,4,2,2,2,4,4,2,3,5,2,2,98,1,3,4,4,13,1
1070,12,3,3,2,52,4,3,4,6,4,2,2,2,1,1,2,4,3,3,1,4,4,5,4,4,4,5,5,1,1,1,2,4,4,2,9,4,4,3,4,4,3,2,2,2,2,1,1,1,1,1,1,3,2,5,2,4,2,3,3,3,1,2,1,3,3,3,4,1,2,4,4,4,1,1,1,1,2,2,3,2,1,1,3,2,1,3,2,2,3,3,3,3,4,4,4,4,2,2,2,2,2,3,2,2,2,2,2,2,2,1,3,1,1,1,2,2,3,1,2,2,4,5,3,3,2,2,4,4,2,3,1,2,2,98,1,4,5,2,12,1
1071,12,3,3,1,61,4,3,4,6,4,3,3,2,1,1,1,3,2,1,99,4,4,5,5,5,5,4,4,3,3,1,4,3,4,4,2,4,4,3,4,4,3,2,2,2,2,1,1,1,1,1,1,2,1,5,2,4,4,2,3,2,4,4,1,3,2,2,2,2,2,2,3,3,1,1,1,1,2,2,3,3,2,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,1,5,1,1,1,1,1,1,1,4,2,3,3,3,7,3,4,1,3,3,4,2,3,1,2,1,1,1,5,6,2,12,1
1072,12,2,3,1,61,4,1,2,3,1,2,2,2,2,2,1,3,2,2,1,2,3,4,4,4,4,4,4,3,1,3,2,2,3,4,2,4,3,3,3,4,3,2,2,2,2,1,1,1,1,1,1,2,1,2, ,2,2,3,3,2,2,2,4,1,2,2,2,3,3,4,4,2,4,4,3,2,1,2,2,3,2,1,3,1,1,2,2,2,1,2,1,2,1,3,2,3,1,1,2,2,2,3,2,4,4,2,2,1,2,2,2,2,1,1,3,3,3,2,2,3,3,8,2,2,4,2,2,3,2,2,6,2,3,98,2,3,4,1,12,1
1073,12,3,3,2,63,4,1,2,3,2,2,2,2,1,1,1,3,2,1,1,3,3,4,4,4,4,4,4,3,1,1,2,3,3,3,2,4,4,4,4,4,4,2,2,2,2,1,1,1,1,1,1,2,1,2, ,3,2,3,3,3,3,2,1,3,2,2,1,3,2,3,3,4,2,2,2,1,2,2,3,1,1,1,3,2,1,3,3,3,1,2,3,3,2,3,3,3,2,2,2,3,3,2,2,2,2,1,1,1,1,1,2,1,1,1,3,3,3,2,2,2,4,5,2,3,2,3,4,4,2,3,5,2,1,98,1,3,4,2,13,1
1074,12,2,3,2,68,4,1,1,3,3,2,2,2,2,2,1,3,1,2,3,4,3,5,4,4,3,3,4,3,2,2,1,3,3,3,2,4,4,4,4,4,4,2,2,2,2,1,1,1,1,1,1,2,4,4,97,2,2,3,2,2,3,3,3,2,2,3,1,2,1,2,2,2,3,3,3,3,1,2,2,1,1,1,3,1,1,2,3,2,1,2,3,3,2,3,3,3,2,2,2,2,2,3,2,2,1,1,1,2,2,1,2,1,1,2,2,2,3,1,2,3,4,7,3,2,4,3,3,4,2,4,5,2,1,3,1,4,5,4,13,1
1075,13,3,3,1,19,1,2,2,3,3,4,3,2,2,3,1,1,1,1,2,3,3,4,4,2,5,5,5,2,2,1,3,3,4,3,1,3,3,4,4,4,4,2,2,1,2,1,1,3,3,3,1,3,1,2, ,1,2,2,2,3,2,2,3,2,3,3,2,3,2,2,2,3,3,3,3,1,1,3,3,3,3,3,3,1,1,3,3,3,1,2,1,2,3,3,3,3,1,3,2,3,2,1,1,3,1,1,1,1,1,1,1,1,2,1,3,2,2,1,2,3,4,5,3,3,4,4,4,1,7,2,6,1,3,98,4,3,3,1,12,1
1076,13,2,3,1,22,1,1,2,2,3,3,3,2,3,2,2,4,4,1,3,2,3,3,3,3,3,3,4,1,1,1,5,4,3,4,1,4,2,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,5,1,3,3,2,3,3,4,4,2,2,1,1,1,5,3,1,3,3,2,2,2,2,2,2,2,3,2,1,3,1,1,3,3,3,1,2,1,2,3,3,3,3,2,2,1,2,2,2,3,2,3,5,5,5,3,2,3,2,3,3,3,3,3,2,1,2,3,6,3,3,4,2,2,1,7,3,6,1,2,2,1,2,2,2,13,1
1077,13,2,3,1,24,1,1,2,1,2,2,1,1,2,1,1,3,2,1,1,1,2,2,2,2,3,2,3,2,1,2,2,1,2,2,2,2,1,1,3,3,3,2,2,2,2,1,1,2,2,1,1,2,2,2, ,2,1,4,4,1,1,2,4,2,2,2,1,2,2,2,4,2,4,4,3,4,2,2,2,3,1,1,2,3,1,1,2,1,1,2,1,2,3,3,4,3,1,2,2,3,2,1,2,3,4,1,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,8,2,3,2,1,2,2,2,3,4,1,3,2,4,3,3,2,13,1
1078,13,3,3,1,27,1,2,2,2,2,2,2,2,2,2,2,3,2,2,5,2,2,4,4,4,4,4,4,2,1,2,2,3,3,2,2,4,4,3,4,4,4,2,2,2,2,1,1,3,3,3,2,3,3,4,3,3,2,3,3,3,2,2,2,2,3,3,1,2,2,2,3,2,3,4,4,4,2,2,2,3,2,3,3,1,1,2,2,1,1,2,1,4,3,3,3,3,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,3,2,3,2,2,3,4,4,2,4,4,2,2,3,2,3,4,1,2,98,1,4,4,1,13,1
1079,13,2,3,1,29,1,2,2,4,1,1,1,1,2,1,1,2,1,1,1,1,3,4,4,4,4,4,4,2,1,2,2,2,2,2,3,2,2,3,3,4,3,2,2,2,2,1,1,2,1,2,1,2,2,1, ,1,1,3,3,1,2,2,4,2,3,5,1,1,1,3,3,3,3,3,3,2,2,2,2,3,3,3,1,1,1,1,1,1,3,3,3,3,3,3,3,3,1,2,2,2,2,1,1,3,4,1,1,1,2,2,2,2,2,2,3,3,3,2,1,1,3,6,3,4,4,1,2,2,2,3,4,1,3,98,1,5,3,1,5,1
1080,13,2,3,2,20,1,3,2,5,3,1,2,2,2,1,1,4,2,1,3,3,3,5,5,4,5,5,5,3,2,2,2,3,4,3,2,4,4,4,4,4,4,2,2,2,2,1,1,1,1,1,1,2,1,5,1,4,3,2,3,2,3,1,3,4,1,4,2,2,2,2,2,3,4,2,2,1,1,3,2,3,1,1,4,1,1,3,4,3,1,2,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,2,2,1,1,2,1,1,3,3,3,3,2,2,4,8,3,4,4,3,3,3,7,4,6,1,3,98,3,3,3,1,13,1
1081,13,2,3,2,27,1,3,2,5,2,2,2,2,2,2,2,2,2,2,3,2,2,4,4,4,4,4,5,1,2,3,2,3,3,3,1,3,4,4,4,4,4,2,2,1,2,1,1,1,1,1,1,2,3,2, ,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,1,2,2,2,2,3,3,1,1,1,1,1,3,3,3,3,3,3,3,3,1,1,1,1,1,3,2,2,2,2,2,2,2,1,2,2,2,3,2,2,3,2,2,2,2,4,2,3,2,2,3,2,2,3,4,1,3,98,2,4,5,3,13,1
1082,13,2,3,2,28,1,2,2,3,1,1,1,1,1,1,1,3,1,1,1,2,3,4,5,1,4,4,4,2,1,2,1,2,3,2,2,4,4,4,4,4,4,2,2,2,2,1,1,2,2,2,1,1,4,2, ,3,3,3,3,2,4,2,3,2,1,1,1,3,3,2,3,3,2,2,1,3,1,1,1,3,2,4,3,1,1,1,2,1,1,3,1,3,2,2,2,2,1,1,1,1,2,2,5,5,5,1,5,1,2,2,3,1,1,1,3,3,3,2,1,1,3,8,2,4,2,2,3,2,8,3,5,2,3,2,2,3,4,2,13,1
1083,13,3,3,1,32,2,1,1,1,1,2,2,2,2,1,1,2,1,1,3,2,2,4,5,4,3,3,1,3,3,1,1,2,3,3,2,4,2,4,4,4,3,2,2,2,2,1,1,1,2,2,1,3,1,1, ,2,3,3,3,2,1,1,1,3,2,3,2,2,3,3,5,3,3,2,1,3,2,3,3,3,2,1,3,1,2,2,3,3,1,3,4,2,2,2,4,2,1,1,1,3,1,1,1,1,2,2,2,2,2,1,2,2,2,2,3,2,2,1,2,3,3,6,4,3,3,2,3,4,2,2,3,2,3,2,1,4,4,1,5,1
1084,13,2,3,1,37,2,2,2,4,1,1,1,1,2,2,1,3,1,1,5,2,2,2,2,2,2,2,2,2,1,1,2,2,3,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1, ,1,1,3,3,3,1,1,4,3,2,3,1,2,2,3,2,2,3,3,3,3,2,1,1,3,1,3,2,1,1,1,1,1,3,3,3,3,2,2,2,2,1,2,3,3,3,1,3,3,3,3,3,3,2,1,1,1,1,1,1,1,3,2,1,2,2,2,3,5,4,3,2,2,8,4,2,1,3,2,2,3,4,1,13,1
1085,13,2,3,1,38,2,1,2,6,1,1,1,1,1,1,1,1,1,1,1,3,3,4,5,4,4,5,5,3,3,3,2,3,1,2,4,4,3,3,4,4,4,2,2,1,2,1,1,1,1,1,1,4,4,3, ,3,3,4,4,1,1,1,4,1,1,1,2,2,1,1,2,2,4,4,4,5,2,2,2,4,2,3,4,1,3,3,3,3,3,3,3,3,4,4,4,4,2,2,2,3,3,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,1,1,1,1,6,3,5,4,2,2,2,2,4,1,1,2,98,3,3,3,1,13,1
1086,13,3,3,1,38,2,1,1,3,1,1,1,1,2,1,1,1,1,1,2,1,2,4,1,1,2,4,4,2,2,2,2,1,1,1,4,4,4,4,4,4,4,2,2,1,2,1,1,1,1,1,1,3,4,1, ,1,1,4,4,2,1,1,5,1,1,1,2,1,1,1,1,3,4,4,4,4,1,3,1,4,4,3,4,1,1,1,1,1,3,3,3,3,4,4,4,4,1,1,1,4,4,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,6,3,5,4,1,2,2,2,4,2,2,2,1,3,3,4,1,13,1
1087,13,2,3,1,38,2,2,2,3,1,1,2,1,2,2,2,3,1,1,1,2,2,4,4,4,4,4,4,3,1,2,2,3,4,4,1,4,3,3,4,3,4,2,2,2,2,1,1,1,3,3,2,1,1,2, ,3,2,3,2,2,3,3,4,2,2,2,1,2,2,2,2,2,4,4,4,4,1,2,2,4,4,2,4,1,3,3,2,2,3,3,1,4,2,2,2,2,1,1,1,1,1,2,2,2,2,3,3,2,1,1,2,1,1,1,1,1,3,1,3,2,4,10,4,3,2,3,3,3,8,2,3,2,2,2,3,3,3,2,13,1
1088,13,3,3,2,30,2,3,2,4,1,3,3,3,2,3,2,3,1,2,1,3,3,4,4,4,4,4,4,2,3,2,2,3,2,3,2,4,4,4,4,4,4,2,2,1,2,1,1,1,2,2,2,2,2,2, ,2,2,4,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,1,1,2,1,1,1,3,4,1,1,3,3,2,2,1,2,2,2,2,1,5,5,5,3,3,2,2,2,2,2,1,2,2,2,3,2,2,3,3,6,3,4,2,2,3,3,8,2,5,2,3,98,3,3,4,2,13,1
1089,13,2,3,2,35,2,1,2,1,2,1,2,2,2,2,2,3,3,2,1,2,2,4,2,4,4,4,4,2,1,2,2,3,2,2,1,4,1,3,3,4,3,2,2,2,2,2,1,1,1,2,1,1,3,3, ,3,1,2,3,3,3,2,2,2,3,3,3,3,3,3,3,1,4,3,2,1,2,3,4,3,2,1,4,1,2,2,2,2,1,3,3,3,2,2,2,2,1,2,1,2,2,1,5,5,5,2,5,2,2,1,3,2,2,2,3,3,2,1,1,3,3,8,1,3,2,3,2,4,1,3,2,2,1,2,2,4,4,1,13,1
1090,13,2,3,2,36,2,1,2,5,1,1,1,1,1,1,1,3,1,1,5,2,3,3,3,3,3,3,3,3,3,3,4,3,4,4,1,4,4,4,4,4,4,2,2,1,2,1,1,1,1,1,1,1,4,3, ,3,3,4,4,1,1,1,5,2,1,1,1,1,1,1,1,4,3,3,3,3,2,2,2,3,1,1,2,4,1,1,2,1,3,3,3,3,4,4,4,4,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,2,2,5,4,1,3,3,1,4,5,2,2,2,4,3,3,1,15,1
1091,13,3,3,2,37,2,1,2,2,1,1,1,1,1,2,2,1,1,1,1,2,3,2,2,2,2,3,3,3,3,2,2,1,1,1,2,4,3,3,4,4,3,2,2,1,2,1,2,1,2,2,1,3,2,2, ,2,2,4,4,1,1,1,5,3,5,5,3,3,2,2,2,2,4,4,3,4,1,3,2,4,3,2,1,1,3,2,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,1,3,3,3,2,2,2,2,1,1,1,1,1,2,2,3,2,1,1,4,3,2,5,4,1,2,2,2,4,2,2,3,98,2,5,6,2,13,1
1092,13,2,3,2,37,2,3,4,2,3,2,2,2,2,1,1,3,2,1,3,2,3,5,5,5,5,5,5,3,3,2,2,3,4,4,1,4,3,3,3,4,3,2,2,2,2,1,1,1,2,2,2,2,3,2, ,3,2,3,3,1,3,4,3,4,2,2,1,3,3,3,3,3,3,3,2,1,1,2,2,3,2,3,3,1,1,2,2,2,3,3,3,3,3,3,3,3,1,1,1,1,1,3,4,4,4,2,4,2,2,1,1,1,1,2,2,3,3,2,2,3,4,8,2,3,2,4,4,3,8,3,3,2,3,98,3,3,5,1,13,1
1093,13,2,3,1,41,3,2,2,2,1,1,2,2,1,1,1,3,2,1,3,2,2,4,5,4,4,5,5,3,1,2,1,2,3,4,2,4,3,3,3,4,3,2,1,2,2,1,1,1,1,1,1,1,1,2, ,3,2,3,3,2,1,2,4,5,1,2,1,2,2,2,2,2,4,4,2,2,2,2,2,3,3,4,3,1,2,1,2,2,3,3,3,3,3,3,3,3,1,2,1,1,1,1,2,2,3,2,1,1,2,1,2,1,1,1,1,1,3,2,2,2,4,6,2,2,2,2,2,2,1,3,4,2,3,2,2,3,5,4,12,1
1094,13,2,3,1,42,3,1,2,2,1,2,2,1,1,1,1,3,1,1,1,1,2,4,4,3,3,1,1,1,1,1,2,2,3,3,2,2,1,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,2,2, ,2,1,2,3,1,1,1,4,3,2,1,1,2,3,3,3,2,3,4,3,3,2,2,2,3,2,1,4,1,1,3,2,3,1,2,3,2,2,3,3,3,1,2,2,2,2,1,2,3,2,2,2,2,1,1,2,2,2,1,2,2,2,1,2,3,3,7,2,2,1,2,2,3,9,2,4,2,2,98,2,2,3,1,13,1
1095,13,2,3,1,42,3,1,2,3,1,1,1,1,1,2,1,3,2,2,1,3,3,4,4,5,4,3,4,2,1,3,2,2,2,2,2,3,3,3,3,4,2,2,2,2,2,1,1,1,2,2,1,2,3,2, ,1,1,3,3,1,2,2,3,3,2,3,1,1,2,3,3,2,4,4,4,4,1,2,1,3,2,1,3,1,1,1,1,1,1,2,1,2,2,3,3,3,1,1,1,2,2,3,2,3,4,2,2,2,2,1,2,2,2,2,1,2,3,1,2,2,4,5,3,3,4,2,2,3,2,3,4,2,3,3,1,3,4,1,13,1
1096,13,3,3,1,47,3,1,2,2,1,1,2,2,1,2,2,2,1,1,1,3,3,3,3,2,3,2,2,2,1,2,2,2,2,2,3,4,3,1,1,3,3,2,2,1,2,1,1,1,1,1,1,3,1,2, ,1,2,3,3,2,1,1,4,1,2,1,1,1,1,2,3,2,4,3,2,2,2,2,2,2,2,1,3,1,1,2,1,3,3,2,3,3,3,3,3,3,3,3,3,3,3,1,2,2,5,1,1,1,2,1,1,1,1,2,3,1,4,1,2,2,3,5,4,3,4,2,2,3,2,4,1,2,3,98,3,3,4,2,13,1
1097,13,3,3,1,47,3,1,2,2,1,1,1,1,3,3,4,3,3,3,1,2,2,4,4,4,4,4,4,2,1,2,2,1,2,1,4,4,2,2,3,4,2,2,2,1,2,1,1,1,1,1,1,3,1,1, ,1,2,4,4,1,1,1,5,1,1,1,1,1,2,2,2,3,3,3,3,4,1,1,1,4,1,3,4,1,2,2,3,2,3,3,3,3,4,4,4,4,3,3,3,3,3,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,2,2,2,2,5,4,3,4,2,3,3,2,9,2,2,2,98,1,3,3,1,13,1
1098,13,3,3,2,43,3,3,2,5,1,1,1,1,1,1,1,3,2,1,5,1,2,4,4,4,4,4,4,3,3,3,1,2,3,2,2,4,4,4,4,4,4,2,2,1,2,1,1,1,1,1,1,2,1,1, ,1,2,3,3,2,2,2,4,4,1,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,4,1,1,1,1,3,4,3,4,2,2,3,3,1,2,2,2,2,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,3,3,2,3,4,6,2,4,4,1,2,2,8,3,4,2,2,2,3,3,4,2,8,1
