ID,pq1,pq2,d04,d06,d01,d02,Q1,Q2,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,Q6,Q7,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q11,uni16,uni17,Q12,nk03_02,Q13,nk13,Q14,Q15,nk07_01,nk07_02,nk07_03,nk07_04,nk07_06,nk07_08,nk08_01,nk08_02,nk08_03,nk08_04,nk09_01,nk09_08,nk09_05,nk09_06,nk09_09,nk09_10,nk10,nk11,nk14,Q17,nk16,nkp01_01,nkp01_02,nkp01_03,nkp01_04,Q18,nkp07_01,nkp07_03,nkp07_05,nkp07_06,nkp07_08,nkp07_11,nkp11,nkp12_01,nkp12_02,nkp12_03,nkp12_04,nkp12_05,nkp12_06,nkp12_07,nkp12_08,nkp12_09,nkd01_01,nkd01_02,nkd01_07,nkd01_08,nkd01_03,nkd01_09,nkd01_10,Q19_1,Q19_2,Q19_3,Q19_4,Q20,nkd04_01,nkd04_02,nkd04_03,nkd04_04,sk22_01,sk22_02,sk22_03,sk22_04,nkd05,nkd06,nkd07_01,nkd07_02,nkd07_03,nkd07_04,nkd07_05,nkd07_06,nkd07_07,nkd07_08,nkd07_09,Q21,Q22,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q25_1,Q25_2,Q25_3,Q25_4,Q26_1,Q26_2,Q26_3,Q26_4,fp08_01,fp08_02,fp08_03,fp08_04,fp09_01,fp11,fp12,fp13,sk05_01,sk05_02,sk05_03,sk05_04,sk05_14,sk05_06,sk05_08,sk05_09,sk05_13,sk05_11,sk09,sk10,sk01,nk12,sk07,Q27,sk18_07,sk17_02,sk25,sk26,sk27,d12_raw,d07,d09_raw,d08,d10_08_15,d11,d13,d14,d15,wt
11,1,1,1,1,2,60,4,5,3,5,3,4,4,4,4,4,1,4,3,4,4,5,3,4,4,5,4,5,5,5,5,1,1,1,5,1,4,3,4,1,3,3,4,4,3,3,2,2,2,2,3,4,1,1,2,2,1,2,3,4,4,4,3,4,3,2,5,4,5,4,4,1,2,3,1,3,5,5,5,3,3,5,4,4,4,3,3,4,4,1,1,2,2,3,4,4,1,3,2,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,3,4,1,4,4,4,1,4,4,4,3,4,4,4,3,4,4,4,2,1,5,1,4,3,4,4,4,4,3,4,4,4,4,1,4,1,1,4,7,4,1,1,5,9,2,3,98,10,4,4,4,11,1.196096865
12,1,1,4,1,1,20,3,1,2,3,2,1,3,2,1,2,1,2,2,1,1,3,1,1,3,4,4,2,3,4,3,1,4,4,2,2,3,2,2,3,2,2,2,1,1,1,2,2,2,2,1,1,1,2,3,3,2,2,2,2,2,3,2,1,3,2,1,1,4,3,2,5,2,1,3,2,2,1,1,3,3,3,2,2,3,3,2,4,2,4,5,4,4,1,2,1,3,2,2,4,4,2,1,1,3,1,3,2,2,1,2,3,3,1,4,1,1,2,3,3,1,4,2,2,2,3,4,3,2,3,1,1,1,3,3,1,2,1,1,2,3,3,2,3,1,2,3,3,7,3,3,3,7,2,4,1,4,10,1,4,98,8,4,4,2,4,0.98269083
13,1,1,4,1,1,28,2,1,2,6,3,2,3,3,2,2,1,2,1,2,2,2,1,2,3,3,2,3,3,2,3,2,2,1,4,2,3,4,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,3,2,2,2,2,2,1,2,2,1,2,3,1,1,1,2,2,3,2,2,3,2,2,3,4,3,3,2,3,2,3,3,3,2,3,3,4,5,4,4,2,2,3,2,1,3,2,2,3,2,1,2,3,2,2,3,3,2,4,3,1,2,1,2,3,3,2,1,3,2,2,2,3,2,2,1,2,1,1,2,1,3,1,2,1,2,3,2,2,3,2,2,3,3,2,7,2,3,3,2,2,4,2,4,3,1,4,98,7,3,4,3,7,0.98269083
14,1,1,4,1,1,21,2,3,1,2,2,3,3,2,1,1,2,3,2,3,2,3,1,3,3,2,3,4,3,2,2,2,2,3,3,1,2,2,2,3,2,1,1,2,3,2,2,2,2,2,1,1,2,3,1,2,3,1,2,1,2,2,1,2,3,2,2,1,2,1,1,2,2,2,1,2,1,3,3,2,3,3,1,2,4,2,3,4,4,5,4,4,4,2,2,1,2,2,3,2,2,1,2,2,4,3,2,3,2,1,2,3,3,3,4,1,1,3,3,3,1,3,2,3,1,3,3,2,1,2,1,2,2,3,5,3,2,1,2,3,2,1,2,2,1,2,4,2,6,3,3,2,7,1,4,2,3,10,1,4,98,8,3,4,2,4,0.98269083
15,1,1,4,1,1,24,2,3,2,3,3,2,2,2,2,1,1,3,2,2,2,1,1,2,3,4,4,4,5,5,5,1,1,5,2,2,3,3,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,3,2,2,2,3,2,1,3,2,2,2,2,3,3,1,3,2,2,1,2,1,1,2,2,2,2,1,1,4,3,3,3,3,3,4,3,3,2,2,2,2,3,2,2,5,2,3,2,2,2,3,2,2,2,2,2,2,3,2,1,4,1,2,3,4,4,1,3,2,3,2,3,4,4,1,2,1,2,2,1,2,1,2,2,2,1,1,1,1,1,3,2,3,3,7,3,3,2,1,2,1,3,4,3,1,3,98,9,4,5,1,4,0.98269083
16,1,1,4,1,1,29,1,4,3,2,2,1,3,2,2,2,3,2,2,3,2,1,2,2,3,4,4,5,4,5,4,1,1,4,2,3,3,3,3,3,3,2,2,3,3,2,2,1,1,2,2,1,2,2,2,2,2,2,3,3,2,2,2,2,3,2,2,2,2,3,2,2,3,2,3,2,3,3,2,2,2,2,4,5,5,4,4,4,4,4,4,4,4,3,2,4,3,2,4,3,2,3,2,2,2,1,2,1,1,1,2,2,2,3,4,1,1,3,4,4,1,3,2,2,2,3,3,3,2,2,2,2,2,3,3,3,2,2,1,1,2,2,2,2,2,2,3,2,7,2,3,3,1,2,1,4,4,6,2,4,3,9,3,4,1,11,0.98269083
17,1,1,4,1,1,28,1,1,2,5,3,2,4,1,2,1,1,3,3,3,3,5,1,1,4,5,5,5,5,5,5,1,6,5,2,3,3,3,3,2,2,2,2,2,3,2,2,2,2,2,1,1,1,1,1,1,3,3,2,3,3,4,3,3,3,4,3,2,2,3,3,2,3,2,2,2,2,2,1,2,2,3,3,4,4,4,5,3,4,3,4,4,3,2,2,3,3,2,3,2,3,3,2,2,3,2,2,3,2,2,2,3,2,3,4,1,1,2,3,4,1,3,2,3,2,3,3,3,1,2,1,2,4,3,4,3,3,4,4,4,3,3,4,3,3,3,3,3,8,3,3,2,1,2,1,4,3,3,1,3,98,9,4,4,1,4,0.98269083
18,1,1,4,1,1,28,4,1,2,3,2,2,2,2,1,1,1,2,2,2,2,3,4,1,3,4,4,4,3,3,3,1,5,3,2,2,3,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,3,2,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,5,5,5,5,1,2,2,3,3,3,3,3,3,2,2,2,2,3,3,2,2,2,2,2,3,4,3,1,3,3,3,1,2,2,2,3,3,3,3,3,3,3,3,4,3,4,3,2,1,2,2,1,2,2,2,2,2,2,2,5,4,3,3,6,2,1,1,1,12,1,4,98,7,4,4,2,4,0.98269083
19,1,1,4,1,1,37,3,2,2,3,2,1,2,3,2,3,2,3,2,2,1,2,2,3,2,2,1,3,2,3,3,2,2,2,2,2,3,3,2,3,1,1,2,2,1,2,2,2,2,2,1,2,3,2,1,2,3,3,1,2,2,2,1,3,2,2,2,1,2,1,3,2,3,2,1,2,2,3,2,2,3,3,2,3,3,4,2,4,4,5,4,4,4,2,2,2,1,2,3,2,3,2,2,3,3,2,3,3,2,2,3,4,3,3,4,1,1,2,2,2,1,3,3,3,2,4,4,4,2,2,2,2,2,1,5,3,2,1,2,1,2,3,2,2,1,2,3,2,7,3,3,3,7,2,4,1,4,3,2,4,98,7,4,3,3,4,0.974559369
20,1,1,4,1,1,34,2,1,2,3,2,3,3,2,1,2,2,3,2,3,2,3,1,2,3,2,1,3,5,3,2,2,1,3,1,2,3,4,2,2,2,3,2,1,2,2,1,2,2,2,1,1,2,3,1,2,3,4,3,1,2,2,1,2,2,2,1,1,2,1,2,3,2,2,3,2,1,2,2,3,2,2,2,2,3,3,3,3,3,4,4,3,4,2,2,3,2,2,2,3,2,2,2,2,2,3,3,2,3,1,2,3,3,1,4,1,1,3,2,3,1,3,2,2,2,3,3,3,1,2,1,1,2,1,3,1,2,1,2,3,2,3,2,2,1,2,3,3,7,3,3,3,7,2,4,2,4,6,2,4,99,8,3,4,2,8,0.974559369
21,1,1,4,1,1,31,3,2,2,2,3,2,2,2,3,1,2,3,2,3,1,2,3,2,3,4,5,4,3,4,4,2,2,2,2,2,3,3,2,2,2,1,3,3,4,2,2,1,1,2,2,2,2,2,2,2,3,2,3,2,2,2,2,3,3,2,3,4,3,2,3,3,3,2,2,3,1,2,3,2,2,2,5,5,5,3,4,4,5,3,4,4,3,2,2,3,3,2,4,3,2,3,2,3,2,2,2,3,2,1,2,2,2,3,4,1,1,3,4,4,1,3,2,2,2,3,3,3,2,2,2,2,2,1,3,1,2,1,2,2,2,2,2,2,2,2,3,2,6,2,3,3,1,2,1,3,5,6,2,4,98,7,4,5,1,4,0.974559369
22,1,1,4,1,1,36,1,4,3,3,3,2,4,2,3,2,2,3,2,3,2,3,3,3,4,4,5,4,4,5,4,2,1,4,5,3,4,3,2,2,3,2,2,2,2,2,2,1,1,2,2,2,2,2,3,3,2,3,2,1,1,3,3,3,3,3,3,2,3,3,2,3,3,3,2,2,3,3,2,2,3,2,3,4,4,3,4,4,4,3,3,2,2,3,3,4,2,2,5,1,3,3,2,2,3,2,3,2,1,1,2,3,2,1,4,3,1,2,4,3,1,3,2,2,2,3,4,3,1,2,1,2,4,1,3,1,2,1,1,2,2,1,1,2,2,2,3,3,7,3,3,3,7,2,1,2,4,4,1,3,98,7,4,5,2,13,0.974559369
23,1,1,4,1,1,36,2,2,2,3,2,3,3,2,1,2,2,2,1,2,3,1,2,2,3,4,3,2,5,3,2,3,3,1,2,2,2,2,2,3,2,1,1,2,3,3,2,2,2,2,1,1,2,3,2,1,3,3,1,1,2,2,1,2,3,1,2,1,2,1,1,3,2,2,3,2,3,2,3,2,2,2,2,3,3,3,2,3,3,5,4,3,3,2,2,3,2,3,3,2,3,3,1,1,2,1,2,2,3,1,2,4,3,1,4,1,1,3,2,2,1,3,2,2,2,4,4,3,1,2,1,2,2,1,4,3,2,1,2,3,2,2,3,2,1,2,3,2,7,3,3,2,7,2,4,2,3,6,2,4,98,9,3,4,3,11,0.974559369
24,1,1,4,1,1,30,1,1,3,2,2,2,3,3,3,2,2,2,3,2,2,5,4,1,3,2,2,1,4,5,5,1,2,1,5,3,3,3,3,3,2,2,2,2,3,2,2,2,1,2,3,2,1,2,3,3,2,3,2,2,2,3,2,2,3,2,3,2,2,3,3,3,1,3,2,2,3,2,3,3,2,2,2,3,3,2,3,3,4,4,4,2,3,2,2,2,3,3,4,2,3,3,2,3,2,2,2,3,2,2,2,3,2,3,4,1,1,2,4,4,1,3,2,2,2,3,3,3,1,2,1,2,2,3,3,1,3,2,1,2,3,2,2,1,2,2,3,2,7,2,3,3,1,2,1,2,3,3,1,3,98,9,4,4,2,4,0.974559369
25,1,1,4,1,1,37,1,3,2,6,2,2,2,3,2,3,2,2,3,2,2,1,3,3,3,5,5,5,5,4,5,1,1,1,1,2,3,3,2,2,1,2,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,3,3,2,2,3,2,3,3,2,2,3,3,3,3,3,4,3,4,3,3,2,2,1,2,2,3,2,3,3,3,3,2,2,3,2,3,2,2,2,2,3,2,3,2,1,1,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,1,1,2,3,1,1,2,2,2,2,2,2,2,2,3,2,7,3,2,2,7,2,1,1,1,2,2,3,2,10,3,4,2,4,0.974559369
26,1,1,4,1,1,41,1,1,2,3,2,1,4,2,2,3,1,2,3,2,1,5,1,2,3,4,4,2,3,3,3,1,2,1,2,3,3,2,2,3,1,1,1,1,2,2,2,2,1,2,1,2,2,1,2,2,3,3,1,3,2,1,1,2,2,1,1,1,2,2,2,4,2,2,1,2,2,1,2,2,2,2,2,2,2,2,3,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,3,2,2,3,2,1,4,2,3,4,1,1,3,3,2,1,3,2,2,2,3,3,3,1,3,2,3,2,2,4,3,2,1,2,1,2,1,2,2,1,2,2,2,7,2,3,3,7,2,1,2,4,6,2,4,98,11,3,4,2,4,0.966539061
27,1,1,4,1,1,40,3,1,2,3,2,1,4,2,2,2,1,2,2,2,1,5,1,1,3,5,4,2,3,4,3,1,1,1,2,2,3,4,3,3,2,2,1,1,1,1,2,2,2,2,1,1,2,3,3,3,2,2,2,1,4,3,2,2,3,2,1,3,2,3,2,3,3,2,2,2,1,1,1,3,3,3,2,3,3,3,3,4,3,4,4,4,4,1,2,2,3,2,2,3,4,2,1,2,3,2,3,2,2,1,1,3,3,1,4,1,1,2,3,3,1,3,2,2,2,3,3,3,2,3,1,2,1,3,4,3,2,1,1,3,3,3,3,3,1,2,3,1,6,3,3,3,7,3,4,1,3,6,2,3,98,9,3,4,2,4,0.966539061
28,1,1,4,1,1,42,2,1,1,2,1,2,3,2,1,2,1,2,2,3,2,3,2,2,3,4,4,3,5,4,4,1,2,1,2,3,1,4,1,3,2,2,1,1,1,2,2,2,2,2,1,1,3,2,2,2,3,1,2,1,2,2,1,1,3,2,1,1,2,1,2,3,3,2,3,2,3,3,3,2,3,3,2,3,3,3,2,4,2,4,4,3,4,1,3,2,2,3,3,2,2,2,2,2,3,2,2,3,2,2,2,4,3,1,4,1,2,3,4,4,1,3,3,3,2,4,4,2,1,2,2,2,4,1,4,3,1,1,2,2,2,1,1,2,1,1,3,2,8,3,2,2,7,2,4,4,4,6,2,4,98,8,3,4,2,1,0.966539061
29,1,1,4,1,1,40,2,4,2,5,3,2,2,3,3,2,2,3,3,3,3,1,2,3,3,4,4,4,5,5,5,1,1,1,2,3,3,3,3,2,2,1,1,2,3,2,2,2,2,2,1,1,1,1,3,3,2,3,2,2,2,3,2,2,3,3,3,2,3,3,2,2,1,2,2,2,2,3,3,3,2,2,3,4,4,3,3,3,4,3,4,2,2,2,2,2,3,2,4,3,3,2,2,2,2,1,2,2,3,2,2,3,2,3,4,1,1,3,4,4,3,3,3,3,2,3,3,3,2,2,2,2,2,1,3,1,2,1,1,2,2,2,2,3,1,2,3,2,5,3,3,3,1,3,1,1,4,3,2,3,99,8,4,5,1,8,0.966539061
30,1,1,4,1,1,46,4,4,3,2,3,3,2,2,4,1,1,3,2,2,2,3,3,2,4,4,5,3,4,3,4,1,1,4,2,2,2,2,3,1,2,3,3,2,4,2,2,1,1,2,3,2,2,3,2,2,2,3,3,3,1,3,2,2,3,2,3,4,3,2,3,3,3,2,2,3,3,2,2,3,3,3,3,5,5,4,4,3,5,4,4,2,2,2,2,3,2,2,4,4,3,3,2,2,1,2,2,2,1,2,2,2,2,1,4,1,1,3,4,4,1,3,2,2,2,3,4,4,1,3,3,3,2,3,3,1,2,3,3,2,2,1,2,3,2,2,2,2,8,2,2,3,1,2,1,2,4,6,2,4,98,7,3,4,3,1,0.966539061
31,1,1,4,1,1,45,1,5,3,3,3,2,4,2,3,3,1,3,3,2,2,1,1,3,4,4,5,5,4,4,4,1,1,4,5,3,4,3,1,3,2,2,2,2,3,1,2,2,1,2,2,1,2,2,3,2,2,2,3,3,1,3,2,2,1,3,3,3,3,4,3,2,1,2,3,3,2,2,3,3,3,3,4,4,4,3,4,3,4,4,4,2,1,2,3,4,3,2,5,2,3,2,2,2,2,1,2,2,1,1,2,2,2,1,4,3,1,2,4,4,1,3,2,2,2,3,4,4,1,2,1,2,4,1,4,1,2,2,1,1,2,2,2,2,3,2,3,2,8,3,3,3,7,3,1,1,3,4,2,3,98,8,4,4,1,4,0.966539061
32,1,1,4,1,1,44,1,5,4,3,3,3,4,2,3,2,2,3,2,2,2,1,1,3,4,5,4,4,5,5,5,1,1,4,5,3,3,2,2,3,2,2,2,1,3,1,2,2,1,2,2,2,1,1,3,3,1,2,2,2,1,3,2,3,3,3,5,3,2,3,3,2,1,3,1,2,2,3,2,3,2,1,4,4,4,4,4,4,4,3,3,2,2,2,2,4,3,3,5,3,2,2,2,2,2,2,2,2,2,2,2,2,1,3,4,1,1,2,4,3,1,3,2,2,2,3,4,4,1,2,1,2,4,3,4,1,2,1,1,2,2,1,1,1,3,2,3,3,8,2,3,3,3,3,1,1,3,3,2,3,98,7,5,5,2,12,0.966539061
33,1,1,4,1,1,40,1,2,3,5,2,2,3,2,2,2,1,2,3,2,2,1,3,2,3,5,4,4,5,4,5,3,1,1,2,2,3,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,3,3,2,2,2,1,1,2,3,3,3,3,2,3,3,3,3,4,3,3,4,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,2,2,3,3,2,3,3,3,3,2,2,3,2,3,2,2,2,2,3,2,1,4,1,1,2,2,2,3,3,3,3,3,3,3,3,2,3,2,3,1,1,4,1,2,2,1,1,2,2,1,1,1,1,3,2,6,2,2,4,7,2,1,1,1,2,2,4,98,10,4,4,2,1,0.966539061
34,1,1,4,1,1,57,3,4,2,3,1,2,4,2,3,3,1,3,2,2,1,5,1,2,3,3,4,2,4,4,4,1,1,1,2,3,3,4,3,2,2,2,2,1,1,2,2,2,2,2,1,1,2,3,4,4,2,1,1,2,2,2,1,1,3,3,3,3,2,3,2,1,3,2,3,3,2,1,1,3,3,3,2,2,2,3,3,3,3,4,5,4,3,1,2,2,3,1,2,3,4,2,2,1,3,1,3,2,2,1,2,3,3,2,1,1,1,1,3,3,1,1,2,2,2,3,3,3,1,3,1,2,4,3,4,3,2,2,1,2,3,3,3,3,1,2,3,2,7,2,3,3,7,3,1,1,1,2,2,3,98,9,3,3,2,4,0.975339654
35,1,1,4,1,1,59,1,1,2,3,2,1,4,2,2,2,1,2,2,2,1,5,1,2,3,4,4,2,3,4,4,1,1,1,2,3,3,2,2,3,2,2,2,2,1,1,2,2,2,2,1,1,2,3,4,4,2,2,2,2,2,1,1,1,3,1,1,1,2,1,2,3,1,2,3,2,2,1,1,3,4,3,2,2,3,3,3,3,3,4,5,4,3,1,2,2,3,1,4,4,3,2,1,1,3,1,3,3,2,1,2,3,3,4,4,1,1,2,3,3,1,3,2,2,2,3,3,3,2,3,1,2,1,3,4,3,2,1,1,2,2,3,2,2,3,2,3,1,7,3,3,3,1,2,1,1,4,4,2,3,98,8,3,4,2,11,0.975339654
