id,ara,siz,sex,age,job,b06,b07,b08,b09,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b34,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,c06,c07,c08,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,mar,edc,inc,c66,c67,c68,c69,xara,dc45,wt,rel
16,1,1,1,1,4,2,2,4,3,3,2,4,2,1,1,2,2,2,1,2,2,2,5,4,2,3,3,1,1,2,3,4,2,3,4,2,3,4,4,3,3,1,2,2,2,2,1,3,2,2,4,1,3,3,3,4,1,3,4,3,2,3,5,5,5,1,3,2,3,3,3,3,2,1,1,4,1,1,1,3,3,4,1,3,2,2,2,4,3,1,4,3,3,3,2,4,1,2,1,1,3,5,4,3,2,2,1,2,2,9,1,4,4,3,3,3,2,2,2,4,5,1,3,2,4,5,4,8,1,2,1.05405405405405,98
17,1,1,2,4,5,2,1,2,1,1,3,2,2,2,3,3,2,3,3,1,2,1,2,2,3,1,5,1,2,1,5,5,3,2,1,2,4,4,4,3,3,2,1,2,2,2,3,2,4,1,1,2,3,3,1,4,1,3,3,1,2,3,4,5,4,2,1,2,3,3,3,1,1,3,4,2,3,1,1,3,2,2,3,2,2,3,1,1,1,2,1,1,2,2,1,2,1,4,5,5,2,2,3,3,1,1,2,2,1,2,2,3,3,3,2,2,1,4,3,4,4,2,2,3,2,2,2,13,1,1,1.41176470588235,1
18,1,1,2,2,5,3,2,4,3,1,3,3,3,3,2,3,3,3,1,2,1,5,5,5,5,4,2,3,3,2,1,4,4,2,2,3,3,3,3,3,4,4,2,2,2,2,1,1,1,3,3,3,2,2,3,4,1,2,3,4,2,3,4,3,3,3,2,3,3,3,3,1,2,2,2,2,2,1,1,3,2,2,2,1,3,3,3,4,4,4,4,2,2,2,2,2,1,2,2,4,4,2,3,5,1,3,1,1,1,1,1,2,3,1,3,3,2,1,2,2,1,2,2,1,5,5,4,6,1,2,.942857142857143,98
19,1,1,1,4,97,5,3,6,4,4,3,3,3,2,2,2,4,4,1,4,2,3,4,2,1,4,4,2,4,1,2,2,4,4,4,3,2,2,3,3,3,3,2,2,2,2,3,1,1,2,2,3,4,4,3,5,4,4,2,3,4,4,3,3,5,1,3,2,2,4,3,2,3,3,3,2,2,4,1,3,2,2,2,3,3,3,4,3,3,4,1,3,4,3,1,1,3,4,3,4,5,5,4,3,1,1,2,1,1,1,1,3,3,4,4,4,3,3,2,2,1,2,2,1,4,6,5,8,1,3,1.14285714285714,2
20,1,1,2,3,5,5,4,6,4,4,3,3,2,3,3,3,2,4,4,1,4,2,4,4,3,4,3,1,2,4,1,5,4,3,2,2,2,4,4,4,4,4,2,2,2,2,4,4,3,3,3,2,3,3,2,4,4,3,3,2,1,1,4,4,4,2,2,4,3,4,4,1,2,1,1,2,2,1,1,1,3,4,3,1,2,2,2,2,4,4,3,2,3,2,2,1,2,4,3,3,4,3,4,4,2,2,2,1,1,3,2,2,2,4,4,4,3,2,3,3,3,2,2,1,4,4,4,13,1,3,.916666666666667,3
21,1,1,1,3,2,1,1,3,2,1,3,4,2,1,1,2,4,3,3,2,3,2,1,3,2,1,1,1,4,4,5,9,3,3,2,2,3,3,4,1,2,1,2,2,2,2,4,3,2,2,2,3,4,3,4,4,1,4,2,2,1,1,1,4,3,4,3,3,2,1,5,3,2,2,3,3,3,1,1,3,3,4,4,2,1,2,2,2,1,3,1,2,2,1,2,2,1,3,1,1,5,2,4,1,3,2,2,1,1,2,3,4,4,2,1,2,2,3,2,3,2,2,3,3,2,3,2,1,1,1,1.06896551724138,98
22,1,1,1,1,3,5,3,4,2,3,3,2,3,3,2,4,4,1,3,2,2,2,1,1,2,2,5,1,3,2,6,5,3,3,2,2,2,1,3,3,4,4,2,2,2,2,2,1,1,2,1,2,3,3,3,4,1,3,4,3,3,2,4,3,3,3,3,4,3,4,4,2,3,3,4,3,2,3,2,2,3,1,4,1,3,2,3,2,3,2,2,2,2,1,3,2,1,4,3,5,5,4,3,3,2,2,2,1,2,2,3,3,2,2,2,3,3,3,2,2,3,1,2,3,3,3,3,1,1,1,1.05405405405405,98
23,1,1,2,1,3,5,4,4,3,3,4,2,1,3,2,4,3,3,2,2,3,1,5,5,2,2,2,3,4,5,4,6,3,2,3,3,3,2,2,4,1,3,2,2,2,2,2,3,2,2,2,4,3,4,1,4,4,2,3,4,3,4,1,1,3,2,3,3,3,2,5,3,3,2,3,3,2,1,1,3,4,2,4,2,1,2,3,3,4,2,3,4,4,4,2,3,2,2,5,5,3,4,3,3,5,3,2,1,1,4,3,3,3,4,4,3,2,1,1,3,2,1,3,3,3,3,3,10,1,3,1.25806451612903,98
24,1,1,2,1,2,5,1,3,1,3,1,2,2,1,1,3,2,4,4,2,4,4,2,1,2,1,3,1,3,4,4,7,1,3,4,4,3,4,4,4,2,3,2,2,1,2,1,2,2,3,3,4,4,2,3,3, ,2,2,3,2,3,2,3,3,1,2,2,2,5,4,2,2,1,4,3,1,3,3,2,2,3,3,2,1,2,4,2,3,3,2,2,2,2,3,3,3,2,2,5,4,4,5,1,5,4,3,4,4,3,1,1,4,4,3,3,3,1,2,2,1,1,2,3,4,4,4,1,1,2,1.25806451612903,2
25,1,2,1,3,2,1,2,5,4,1,4,1,1,1,4,3,1,1,5,1,1,5,5,2,5,4,4,3,1,5,3,7,4,4,3,3,4,4,3,3,4,4,2,2,2,2,1,1,1,2,1,2,2,2,2,4,3,3,3,3,3,1,4,1,1,2,3,4,4,2,3,1,3,2,3,3,3,1,1,3,3,1,1,3,3,4,4,4,4,4,4,2,2,2,2,2,1,3,3,3,1,2,2,2,1,2,2,2,3,3,3,3,3,4,5,3,2,2,2,4,2,2,1,2,4,4,2,11,8,3,1.2,3
26,1,2,1,3,4,3,2,3,3,4,4,2,2,2,2,4,2,2,3,3,3,5,5,5,5,5,5,3,3,1,1,5,4,4,2,2,3,3,3,3,3,3,2,2,2,2,1,1,1,2,2,2,3,2,2,3, ,2,3,3,2,1,3,2,3,4,2,4,3,3,3,1,2,2,3,2,1,3,3,1,2,3,3,1,3,2,4,2,4,4,4,2,1,3,2,3,2,1,2,2,1,1,2,2,2,2,1,1,2,2,2,3,3,3,3,3,3,1,2,3,2,2,3,4,3,3,2,9,8,2,1.2,2
27,1,2,1,3,2,4,3,6,2,4,4,2,3,1,1,4,4,1,99,3,3,5,5,5,5,5,5,3,3,5,6,6,3,3,3,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2, ,2,4,4,2,3,3,3,3,1,3,3,3,3,3,2,3,3,3,3,5,2,4,3,3,2,1,1,1,2,2,3,3,3,3,3,2,3,4,4,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,3,4,2,2,2,2,2,3,3,2,3,1,8,8,1,1.2,98
28,1,2,2,2,5,3,4,6,3,3,3,3,3,4,9,3,3,3,1,4,4,4,5,4,5,4,4,3,1,5,1,9,3,3,3,4,4,4,3,4,4,4,2,2,2,2,1,1,1,1,1,4,4,4,4,4,4,3,3,3,4,2,4,2,2,1,3,3,3,3,3,3,3,4,3,3,1,2,2,1,4,3,3,1,3,3,3,3,4,3,3,3,2,3,3,3,3,2,2,1,2,3,2,2,1,2,1,2,1,2,4,3,3,4,3,4,3,2,2,2,3,2,2,1,5,6,3,8,8,2,.975609756097561,98
29,1,2,2,4,5,1,2,4,3,2,3,3,3,3,2,3,2,3,1,2,3,4,4,5,4,4,4,3,1,5,2,9,3,3,3,3,4,4,3,4,4,3,2,2,1,1,1,1,1,1,1,3,3,3,2,3, ,3,3,4,2,2,3,3,3,1,3,3,4,3,3,2,3,3,3,3,1,2,1,1,2,2,2,1,3,1,1,2,3,3,3,2,2,3,3,3,3,2,2,2,3,3,2,2,1,5,1,1,1,2,3,3,3,3,3,3,2,2,2,2,3,2,2,2,4,4,2,10,8,2,1.33333333333333,2
30,1,2,1,4,3,2,2,1,3,2,3,2,3,3,3,3,3,3,1,2,2,5,5,4,4,5,4,3,3,4,2,8,3,2,3,4,4,3,3,4,4,4,2,2,1,2,1,1,1,1,1,3,3,4,4,4,1,3,3,3,3,2,5,2,2,1,3,2,1,2,1,3,3,4,3,3,1,2,1,1,4,3,3,3,3,3,3,3,4,3,3,2,2,3,2,2,3,5,5,5,5,5,5,5,1,2,1,2,1,2,2,3,2,3,3,3,3,2,2,2,4,2,1,2,3,4,4,8,8,2,.75,1
31,1,2,2,4,5,1,2,1,3,3,3,3,2,2,1,2,2,1,1,1,2,4,3,5,4,4,4,3,1,5,1,3,4,4,3,2,4,3,3,4,4,4,2,2,1,2,1,2,1,2,1,2,3,4,2,3, ,3,3,4,2,2,3,2,3,1,3,2,3,2,2,2,3,3,3,3,1,2,1,1,2,1,9,1,3,1,1,3,4,3,3,2,2,2,2,2,3,2,2,2,2,2,2,2,1,5,1,2,1,2,3,3,3,3,3,3,2,2,2,2,3,2,2,99,4,6,2,2,8,2,1.125,98
32,1,2,2,4,5,1,2,3,3,3,4,3,1,1,1,3,1,1,3,3,3,5,5,5,5,3,5,3,3,5,3,8,3,4,3,2,3,3,3,3,3,3,1,2,2,2,1,1,1,2,2,2,3,2,3,5,1,2,3,4,2,1,3,1,3,2,1,4,5,4,5,1,3,1,4,1,3,2,1,1,3,3,3,1,3,4,3,4,4,4,4,1,1,1,1,1,1,1,4,4,1,1,2,2,1,2,1,1,1,1,1,1,1,2,3,4,2,1,2,3,1,2,2,3,3,4,2,8,8,2,1.33333333333333,1
33,1,2,2,3,5,4,3,6,3,3,4,3,2,3,2,3,3,3,1,3,3,5,5,5,5,5,5,3,3,2,1,5,4,4,2,3,4,4,3,4,4,3,2,2,1,2,1,1,1,1,1,4,2,4,4,3, ,3,2,3,5,4,4,2,2,1,3,2,2,2,2,1,3,4,3,3,1,2,2,1,3,2,2,1,3,3,3,4,4,4,4,2,1,2,2,2,3,2,2,1,3,2,2,2,1,2,1,2,1,2,3,4,3,3,3,3,2,2,2,2,3,2,2,1,4,5,2,8,8,2,.853658536585366,2
34,1,2,2,2,4,1,2,3,2,2,2,2,1,1,1,4,1,1,5,1,1,5,5,5,5,5,5,2,3,2,1,6,4,4,3,3,1,1,1,1,1,1,2,2,1,2,1,1,1,2,2,2,1,3,4,5,1,3,2,2,3,1,3,1,1,1,3,1,1,1,1,1,2,2,2,1,1,3,3,1,1,1,1,1,3,3,1,1,3,3,2,1,1,3,2,2,2,2,2,3,2,2,3,3,2,2,1,1,1,1,1,1,1,3,2,2,2,3,3,2,4,1,3,3,4,4,1,1,8,1,.975609756097561,2
35,1,2,1,1,97,2,1,3,2,2,2,3,3,3,2,2,1,2,2,2,2,2,1,4,5,3,3,2,2,2,5,5,3,3,2,3,4,4,4,4,4,2,2,2,1,2,2,1,1,1,2,1,1,2,2,3, ,2,4,3,5,4,2,3,5,4,1,3,3,3,3,2,2,2,3,1,2,1,1,1,2,2,1,1,1,4,4,3,3,2,4,3,2,2,1,3,3,2,2,2,2,2,1,1,2,3,1,2,1,1,1,1,1,2,2,3,3,1,1,3,1,1,2,3,3,5,2,1,8,1,1.26923076923077,1
