Q5_4,2017,2018,2019,2020,2021,2022
1,0.18583333333333332,0.2475,0.2325,0.21916666666666668,0.16583333333333333,0.18583333333333332
2,0.49666666666666665,0.5083333333333333,0.5125,0.4583333333333333,0.48,0.42583333333333334
3,0.2941666666666667,0.22583333333333333,0.23166666666666666,0.2925,0.31083333333333335,0.3275
4,0.023333333333333334,0.018333333333333333,0.023333333333333334,0.029166666666666667,0.043333333333333335,0.060833333333333336
99,0.0,0.0,0.0,0.0008333333333333334,0.0,0.0
