Q5_4,2018,2019,2020,2021,2022
1,33.18,-6.06,-5.73,-24.33,12.06
2,2.35,0.82,-10.57,4.73,-11.28
3,-23.23,2.58,26.26,6.27,5.36
4,-21.43,27.27,25.0,48.57,40.38
99,,,,0.0,0.0
