Q24_1,2008,2009,2010,2011,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,32.32,4.86,3.76,-1.83,6.53,0.83,-3.41,2.78,-0.73,1.26,2.38,-3.34,2.51,5.52
2,-40.57,5.3,6.33,-2.94,-16.99,0.0,21.99,-11.05,-15.69,-3.88,-3.23,-8.33,16.36,-11.72
3,-32.67,-20.57,-30.32,19.29,-20.45,-7.53,2.33,-5.68,32.53,-4.55,-20.95,55.42,-37.21,-40.74
4,-32.16,-53.79,-8.86,29.89,-46.11,-14.29,0.0,-33.33,75.0,-14.29,50.0,-33.33,100.0,-50.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
