Q5_10,2017,2018,2019,2020,2021,2022
1,0.13083333333333333,0.19833333333333333,0.21083333333333334,0.185,0.12916666666666668,0.13833333333333334
2,0.5125,0.5266666666666666,0.5425,0.49916666666666665,0.4675,0.49416666666666664
3,0.31833333333333336,0.2575,0.21416666666666667,0.29083333333333333,0.3675,0.3375
4,0.0375,0.0175,0.030833333333333334,0.025,0.035833333333333335,0.03
99,0.0008333333333333334,0.0,0.0016666666666666668,0.0,0.0,0.0
