Q5_10,2018,2019,2020,2021,2022
1,51.59,6.3,-12.25,-30.18,7.1
2,2.76,3.01,-7.99,-6.34,5.7
3,-19.11,-16.83,35.8,26.36,-8.16
4,-53.33,76.19,-18.92,43.33,-16.28
99,0.0,100.0,0.0,0.0,0.0
