Q14,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1.0,-52.57,23.88,0.25,6.89,-7.53,-21.18,-89.55,671.43,33.33,-33.33,235.42,4.97,-72.19,6.38,6.0
2.0,-20.42,-15.76,-0.63,-1.63,7.04,-24.11,-61.33,194.29,-7.28,-9.69,124.06,-12.03,-37.5,-1.41,-8.83
3.0,48.39,2.82,4.13,-4.84,7.26,9.13,-27.14,38.78,-4.41,7.31,-58.06,27.35,88.59,5.52,-2.19
4.0,97.86,40.44,-8.49,13.95,-28.51,60.69,108.15,-61.03,19.58,9.73,-87.1,65.62,213.21,-16.87,33.33
5.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
